,predictedUtility,realUtility,award,lostUtility
0,2759387.9373173397,11824384.791782536,11046529.891782535,0.0
1,147776.08458250022,379749.62170085544,0.0,0.0
2,947040.4748369771,2581641.1627031034,1803786.2627031035,0.0
3,1190063.735016644,3891648.778714195,3113793.878714195,0.0
4,1130727.7791209796,2479674.033044518,1701819.133044518,0.0
5,123057.26930430642,437993.78899884486,0.0,0.0
6,419375.8424336337,5745141.265051717,0.0,5745141.265051717
7,715329.8152657438,2200229.695217033,0.0,2200229.695217033
8,95718.33320699315,224895.70503932587,0.0,0.0
9,382114.48759695835,8520220.686980419,0.0,8520220.686980419
10,188186.0047842461,638659.391144501,0.0,0.0
11,711530.1038263481,1511597.2061309526,0.0,1511597.2061309526
12,1049836.9351577607,3024772.358887122,2246917.458887122,0.0
13,594893.0359304548,2205631.8941776343,0.0,2205631.8941776343
14,1072812.9361867474,4637927.636305444,3860072.736305444,0.0
15,905152.9995604837,3124987.882341888,2347132.982341888,0.0
16,829545.2770470722,3781272.9374159346,3003418.0374159347,0.0
17,330637.42928962765,1064158.3978809458,0.0,1064158.3978809458
18,1086506.6688210955,2207536.29294589,1429681.3929458903,0.0
19,434506.9564009012,1339946.1158625833,0.0,1339946.1158625833
20,756838.1404103911,3261212.1985668773,0.0,3261212.1985668773
21,377763.1463220216,1556719.1474989105,0.0,1556719.1474989105
22,426857.13333633036,1610712.5427185546,0.0,1610712.5427185546
23,1039134.1943137217,23143222.65968686,22365367.75968686,0.0
24,1537793.593400714,3471922.966075229,2694068.066075229,0.0
25,1138694.659265353,3866211.2117272797,3088356.31172728,0.0
26,134673.30246314703,406065.1157793359,0.0,0.0
27,1174621.2831027873,5710063.337263418,4932208.437263418,0.0
28,302736.1364949688,914185.563125201,0.0,914185.563125201
29,1263631.1857522684,2750808.911684602,1972954.0116846021,0.0
30,1009094.3801907817,3661498.4602694963,2883643.5602694964,0.0
31,716700.5044562167,2431149.4724435396,0.0,2431149.4724435396
32,742379.2764284469,3313705.7345422995,0.0,3313705.7345422995
33,70893.41658401785,389569.1672088147,0.0,0.0
34,245418.72623636192,718141.5903772736,0.0,0.0
35,821162.9737351959,2386649.473156627,1608794.573156627,0.0
36,736905.3948683355,2301830.5041454816,0.0,2301830.5041454816
37,316991.65065074555,1078867.7941955973,0.0,1078867.7941955973
38,705377.298944967,9513966.015577238,0.0,9513966.015577238
39,1060360.6639619446,2988883.3863523593,2211028.4863523594,0.0
40,244149.28293360604,1158387.8739067577,0.0,1158387.8739067577
41,36706.997920377704,101529.52289546226,0.0,0.0
42,1847622.5972822362,3772319.835963598,2994464.935963598,0.0
43,1423979.3636807844,4359076.395306486,3581221.495306486,0.0
44,1094249.563866536,4093824.6288474486,3315969.7288474487,0.0
45,836570.94209986,1166684.6555799954,388829.75557999534,0.0
46,696445.3393303,2918091.778572835,0.0,2918091.778572835
47,491031.2417511982,1718540.837541776,0.0,1718540.837541776
48,60364.269617139034,251415.18938990566,0.0,0.0
49,1985032.2430895865,16704057.167337213,15926202.267337212,0.0
50,355767.9752124546,665800.7304721351,0.0,0.0
51,515225.6110856593,2003647.0586571093,0.0,2003647.0586571093
52,986731.472680414,1816900.5607546181,1039045.6607546181,0.0
53,292123.0243511414,1037676.8498982041,0.0,1037676.8498982041
54,857334.695514033,2837736.9757697913,2059882.0757697914,0.0
55,637335.4910952254,1959822.2929309271,0.0,1959822.2929309271
56,717446.7091926415,4173079.687102159,0.0,4173079.687102159
57,90453.80481965256,384767.3952739261,0.0,0.0
58,1396137.2049117931,21418420.13287986,20640565.232879862,0.0
59,1730961.5439554679,4727335.726008549,3949480.8260085494,0.0
60,2587035.977722468,5159685.331710603,4381830.431710603,0.0
61,1119182.7037557121,29907091.21029688,29129236.310296882,0.0
62,571460.1377201652,2142822.514490177,0.0,2142822.514490177
63,528633.6311412203,1849139.8335468958,0.0,1849139.8335468958
64,1605836.1210426118,5061640.965371292,4283786.065371292,0.0
65,507650.9431638196,1286133.2158010886,0.0,1286133.2158010886
66,1468269.2797945049,15375723.456765812,14597868.556765812,0.0
67,698250.1833563885,1580227.174528698,0.0,1580227.174528698
68,1083760.9016137142,3480475.021161208,2702620.121161208,0.0
69,37772.69536626556,147995.5184621389,0.0,0.0
70,235638.55249050655,813943.7193987968,0.0,813943.7193987968
71,169880.18356753085,2188044.631154212,0.0,2188044.631154212
72,1313511.2943809216,2931617.277846644,2153762.3778466443,0.0
73,348566.9131764545,9478475.693845224,0.0,9478475.693845224
74,1321896.3472624915,3964660.9025967405,3186806.0025967406,0.0
75,966787.4645174447,5079011.622151195,4301156.722151195,0.0
76,1018426.414739193,4496210.074111716,3718355.174111716,0.0
77,209197.77114617827,682608.7758261173,0.0,0.0
78,536517.5323675288,2074674.1125924091,0.0,2074674.1125924091
79,88202.2127782916,481104.4524131229,0.0,0.0
80,1186534.927382516,2086685.5828867382,1308830.6828867383,0.0
81,236199.3728171371,845891.042380795,0.0,845891.042380795
82,712357.3916780665,3427385.0537889735,0.0,3427385.0537889735
83,667667.9969344744,22443789.47282676,0.0,22443789.47282676
84,227364.05215465082,806863.737074744,0.0,806863.737074744
85,1752798.097951301,4617448.232663062,3839593.3326630625,0.0
86,377201.21497243474,868443.7484941105,0.0,868443.7484941105
87,1293878.2609517698,4318180.749761995,3540325.849761995,0.0
88,154437.74424587734,582350.085959708,0.0,0.0
89,1124045.0619262157,2485228.744153111,1707373.8441531109,0.0
90,1179643.6824213073,3859285.023410202,3081430.123410202,0.0
91,712286.8244480822,2483181.995896071,0.0,2483181.995896071
92,348803.5236855457,1481575.5880802304,0.0,1481575.5880802304
93,36133.83636017681,116236.5379011728,0.0,0.0
94,266893.07321246446,603668.7825359617,0.0,0.0
95,410173.25661995256,1976237.545837777,0.0,1976237.545837777
96,1031662.9310664154,2611687.8760187635,1833832.9760187636,0.0
97,1790433.3455901933,3228613.2751136394,2450758.3751136395,0.0
98,686824.0614184035,2727544.2502338714,0.0,2727544.2502338714
99,40088.92054633134,159000.89177412327,0.0,0.0
100,952509.306701863,2591671.877524062,1813816.9775240622,0.0
101,1079406.493937271,12933257.94863078,12155403.04863078,0.0
102,2364264.2843215954,4374564.834160083,3596709.934160083,0.0
103,1184542.4491436854,4167697.680264922,3389842.780264922,0.0
104,145985.1047923916,506501.36171776877,0.0,0.0
105,496123.89957490703,7910686.32711406,0.0,7910686.32711406
106,668162.3653454145,5437547.832408467,0.0,5437547.832408467
107,529461.7071318093,2091031.4432600206,0.0,2091031.4432600206
108,1005760.1409099989,4158325.9722933862,3380471.0722933863,0.0
109,934629.6560541682,4404614.766821615,3626759.8668216155,0.0
110,870267.3101855135,3155652.1440102216,2377797.2440102217,0.0
111,125152.6011333548,491266.9854927505,0.0,0.0
112,663462.8137376144,8362409.646236378,0.0,8362409.646236378
113,449319.0110679975,1788543.0436005623,0.0,1788543.0436005623
114,642697.2073591211,2427890.951928634,0.0,2427890.951928634
115,2210577.0306235147,4216053.350171446,3438198.450171446,0.0
116,174532.73411152116,491695.29869499826,0.0,0.0
117,478222.91438969446,1556942.47352417,0.0,1556942.47352417
118,1131672.1169204374,4772230.131516497,3994375.2315164967,0.0
119,460022.7585203248,1313248.1080752865,0.0,1313248.1080752865
120,1339259.9598531048,3098183.3046794436,2320328.4046794437,0.0
121,424055.404882789,1334156.5761529002,0.0,1334156.5761529002
122,1373156.972153146,4766988.973706554,3989134.073706554,0.0
123,208742.95273421681,917589.9538452427,0.0,917589.9538452427
124,584782.1881468281,2779061.562030378,0.0,2779061.562030378
125,167404.0401275107,406337.3090098567,0.0,0.0
126,1232997.3358015274,3287386.729547154,2509531.8295471543,0.0
127,1342887.9361533718,3298942.3470699284,2521087.4470699285,0.0
128,425260.16844830365,1322295.3082332993,0.0,1322295.3082332993
129,121314.48680769154,481034.97824280674,0.0,0.0
130,103704.58484349585,973299.593241107,0.0,973299.593241107
131,1181650.2986451,2316757.7728381827,1538902.8728381828,0.0
132,81799.15432481708,650027.8965680567,0.0,0.0
133,1120157.1846772477,2743761.2141721346,1965906.3141721347,0.0
134,1860947.8282413003,4898517.691255077,4120662.791255077,0.0
135,1128798.8842489496,17694227.282464184,16916372.382464185,0.0
136,1391326.601758002,4757902.459692192,3980047.5596921924,0.0
137,730027.3079642708,17973389.31729152,0.0,17973389.31729152
138,2074292.3524230921,26042526.69254104,25264671.792541042,0.0
139,711984.7052148546,1240417.0087507567,0.0,1240417.0087507567
140,1404773.3280640536,5048808.438743718,4270953.538743718,0.0
141,921788.4472119913,2414811.7101603467,1636956.8101603468,0.0
142,272108.1161831029,3540684.8037223574,0.0,3540684.8037223574
143,528078.0609004445,2321822.8640038217,0.0,2321822.8640038217
144,2163460.2995300367,23991272.2360325,23213417.336032502,0.0
145,165290.9559411501,489103.6121620206,0.0,0.0
146,1238106.965361273,5437793.629203946,4659938.729203946,0.0
147,312691.0026340171,800066.3588988446,0.0,800066.3588988446
148,1287216.2631510203,12205314.45734849,11427459.55734849,0.0
149,413000.8511327566,601638.8229876707,0.0,0.0
150,1256568.2548107903,4468988.661200441,3691133.7612004415,0.0
151,466710.7942452379,8514035.618280606,0.0,8514035.618280606
152,598124.6138233397,14453915.149732642,0.0,14453915.149732642
153,413241.06415193423,1443915.6475280097,0.0,1443915.6475280097
154,841177.4192382407,2669590.480993966,1891735.5809939662,0.0
155,1850549.449450403,4252716.78957363,3474861.8895736304,0.0
