ID,ActionTime,Cost1,Cost2,,0
1,2019-07-22T00:01:12.000Z,412.41,2280.74,,
2,2019-07-22T00:01:13.000Z,416.88,2111.34,,
3,2019-07-22T00:01:14.000Z,414.49,2111.34,,
4,2019-07-22T00:01:15.000Z,418.65,2082.08,,
5,2019-07-22T00:01:16.000Z,413.87,2243.78,,
6,2019-07-22T00:01:17.000Z,414.49,2086.7,,
7,2019-07-22T00:01:18.000Z,319.32,1644.72,,
8,2019-07-22T00:01:19.000Z,380.76,1957.34,,
9,2019-07-22T00:01:20.000Z,320.94,1789.48,,
10,2019-07-22T00:01:21.000Z,298.84,1516.9,,
11,2019-07-22T00:01:22.000Z,297.84,1538.46,,
12,2019-07-22T00:01:23.000Z,411.18,2062.06,,
13,2019-07-22T00:01:24.000Z,461.54,2280.74,,
14,2019-07-22T00:01:25.000Z,352.58,1789.48,,
15,2019-07-22T00:01:26.000Z,352.97,1791.02,,
16,2019-07-22T00:01:27.000Z,351.97,1774.08,,
17,2019-07-22T00:01:28.000Z,465.46,2180.64,,
18,2019-07-22T00:01:29.000Z,360.21,1852.62,,
19,2019-07-22T00:01:30.000Z,384.08,1754.06,,
20,2019-07-22T00:01:31.000Z,371.29,1866.48,,
21,2019-07-22T00:01:32.000Z,342.5,1945.02,,
22,2019-07-22T00:01:33.000Z,365.52,1844.92,,
23,2019-07-22T00:01:34.000Z,357.66,1814.12,,
24,2019-07-22T00:01:35.000Z,359.67,1838.76,,
25,2019-07-22T00:01:36.000Z,363.98,1975.82,,
26,2019-07-22T00:01:37.000Z,380.76,1824.9,,
27,2019-07-22T00:01:38.000Z,350.2,1844.92,,
28,2019-07-22T00:01:39.000Z,351.5,1775.62,,
29,2019-07-22T00:01:40.000Z,351.58,1786.4,,
30,2019-07-22T00:01:41.000Z,319.7,1624.7,,
31,2019-07-22T00:01:42.000Z,332.33,1615.46,,
32,2019-07-22T00:01:43.000Z,321.32,1672.44,,
33,2019-07-22T00:01:44.000Z,320.63,1783.32,,
34,2019-07-22T00:01:45.000Z,332.41,2220.68,,
35,2019-07-22T00:01:46.000Z,319.78,1624.7,,
36,2019-07-22T00:01:47.000Z,317.78,1617,,
37,2019-07-22T00:01:48.000Z,391.7,1778.7,,
38,2019-07-22T00:01:49.000Z,319.93,1623.16,,
39,2019-07-22T00:01:50.000Z,320.47,1624.7,,
40,2019-07-22T00:01:51.000Z,399.71,2048.2,,
41,2019-07-22T00:01:52.000Z,349.27,1774.08,,
42,2019-07-22T00:01:53.000Z,360.82,1826.44,,
43,2019-07-22T00:01:54.000Z,351.89,1809.5,,
44,2019-07-22T00:01:55.000Z,405.79,2048.2,,
45,2019-07-22T00:01:56.000Z,350.2,1643.18,,
46,2019-07-22T00:01:57.000Z,302.15,1538.46,,
47,2019-07-22T00:01:58.000Z,301.3,1536.92,,
48,2019-07-22T00:01:59.000Z,298.61,1532.3,,
49,2019-07-22T00:02:00.000Z,310.31,1549.24,,
50,2019-07-22T00:02:01.000Z,303.3,1524.6,,
51,2019-07-22T00:02:02.000Z,300.53,1510.74,,
52,2019-07-22T00:02:03.000Z,312.31,1660.12,,
53,2019-07-22T00:02:04.000Z,318.01,1609.3,,
