,date,server,tactic,Latency,Cost,Reliability,Predicted_Latency,Predicted_Cost,Predicted_Reliability
1,0.0,5.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
2,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
3,0.0,5.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
4,0.0,5.0,4.0,2.0,16.0,1.0,1.0,14.0,1.0
5,0.0,5.0,5.0,0.0,4.0,1.0,1.0,3.0,1.0
41,0.0,5.0,1.0,1.0,3.0,1.0,0.0,17.0,1.0
42,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
43,0.0,5.0,3.0,0.0,22.0,1.0,2.0,17.0,1.0
44,0.0,5.0,4.0,2.0,17.0,1.0,1.0,14.0,1.0
45,0.0,5.0,5.0,0.0,16.0,1.0,1.0,3.0,1.0
77,0.0,5.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
78,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
79,0.0,5.0,3.0,0.0,19.0,1.0,2.0,17.0,1.0
80,0.0,5.0,4.0,2.0,16.0,1.0,1.0,14.0,1.0
81,0.0,5.0,5.0,2.0,16.0,1.0,1.0,3.0,1.0
117,0.0,5.0,1.0,1.0,3.0,1.0,0.0,17.0,1.0
118,0.0,5.0,2.0,0.0,17.0,1.0,0.0,17.0,1.0
119,0.0,5.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
120,0.0,5.0,4.0,2.0,17.0,1.0,1.0,14.0,1.0
121,0.0,5.0,5.0,2.0,16.0,1.0,1.0,3.0,1.0
157,0.0,5.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
158,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
159,0.0,5.0,3.0,0.0,13.0,1.0,2.0,17.0,1.0
160,0.0,5.0,4.0,2.0,16.0,1.0,1.0,14.0,1.0
161,0.0,5.0,5.0,2.0,16.0,1.0,1.0,3.0,1.0
192,0.0,5.0,1.0,1.0,1.0,1.0,0.0,17.0,1.0
193,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
194,0.0,5.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
195,0.0,5.0,4.0,2.0,16.0,1.0,1.0,14.0,1.0
196,0.0,5.0,5.0,2.0,17.0,1.0,1.0,3.0,1.0
232,0.0,5.0,1.0,1.0,3.0,1.0,0.0,17.0,1.0
233,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
234,0.0,5.0,3.0,0.0,13.0,1.0,2.0,17.0,1.0
235,0.0,5.0,4.0,2.0,16.0,1.0,1.0,14.0,1.0
236,0.0,5.0,5.0,2.0,3.0,1.0,1.0,3.0,1.0
272,0.0,5.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
273,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
274,0.0,5.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
275,0.0,5.0,4.0,2.0,17.0,1.0,1.0,14.0,1.0
276,0.0,5.0,5.0,2.0,16.0,1.0,1.0,3.0,1.0
308,0.0,5.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
309,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
310,0.0,5.0,3.0,0.0,16.0,1.0,2.0,17.0,1.0
311,0.0,5.0,4.0,2.0,17.0,1.0,1.0,14.0,1.0
312,0.0,5.0,5.0,0.0,17.0,1.0,1.0,3.0,1.0
348,0.0,5.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
349,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
350,0.0,5.0,3.0,0.0,19.0,1.0,2.0,17.0,1.0
351,0.0,5.0,4.0,2.0,17.0,1.0,1.0,14.0,1.0
352,0.0,5.0,5.0,0.0,7.0,1.0,1.0,3.0,1.0
388,0.0,5.0,1.0,1.0,3.0,1.0,0.0,17.0,1.0
389,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
390,0.0,5.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
391,0.0,5.0,4.0,2.0,16.0,1.0,1.0,14.0,1.0
392,0.0,5.0,5.0,0.0,17.0,1.0,1.0,3.0,1.0
428,0.0,5.0,1.0,1.0,3.0,1.0,0.0,17.0,1.0
429,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
430,0.0,5.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
431,0.0,5.0,4.0,2.0,16.0,1.0,1.0,14.0,1.0
432,0.0,5.0,5.0,0.0,15.0,1.0,1.0,3.0,1.0
463,0.0,5.0,1.0,12.0,1.0,1.0,0.0,17.0,1.0
464,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
465,0.0,5.0,3.0,0.0,19.0,1.0,2.0,17.0,1.0
466,0.0,5.0,4.0,2.0,17.0,1.0,1.0,14.0,1.0
467,0.0,5.0,5.0,0.0,16.0,1.0,1.0,3.0,1.0
503,0.0,5.0,1.0,1.0,3.0,1.0,0.0,17.0,1.0
504,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
505,0.0,5.0,3.0,0.0,19.0,1.0,2.0,17.0,1.0
506,0.0,5.0,4.0,2.0,17.0,1.0,1.0,14.0,1.0
507,0.0,5.0,5.0,0.0,24.0,1.0,1.0,3.0,1.0
543,0.0,5.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
544,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
545,0.0,5.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
546,0.0,5.0,4.0,2.0,16.0,1.0,1.0,14.0,1.0
547,0.0,5.0,5.0,0.0,5.0,1.0,1.0,3.0,1.0
583,0.0,5.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
584,0.0,5.0,2.0,0.0,17.0,1.0,0.0,17.0,1.0
585,0.0,5.0,3.0,0.0,16.0,1.0,2.0,17.0,1.0
586,0.0,5.0,4.0,2.0,17.0,1.0,1.0,14.0,1.0
587,0.0,5.0,5.0,0.0,17.0,1.0,1.0,3.0,1.0
623,0.0,5.0,1.0,2.0,3.0,1.0,0.0,17.0,1.0
624,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
625,0.0,5.0,3.0,0.0,16.0,1.0,2.0,17.0,1.0
626,0.0,5.0,4.0,2.0,16.0,1.0,1.0,14.0,1.0
627,0.0,5.0,5.0,0.0,16.0,1.0,1.0,3.0,1.0
659,0.0,5.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
660,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
661,0.0,5.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
662,0.0,5.0,4.0,2.0,16.0,1.0,1.0,14.0,1.0
663,0.0,5.0,5.0,2.0,16.0,1.0,1.0,3.0,1.0
699,0.0,5.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
700,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
701,0.0,5.0,3.0,0.0,19.0,1.0,2.0,17.0,1.0
702,0.0,5.0,4.0,2.0,17.0,1.0,1.0,14.0,1.0
703,0.0,5.0,5.0,2.0,18.0,1.0,1.0,3.0,1.0
739,0.0,5.0,1.0,1.0,3.0,1.0,0.0,17.0,1.0
740,0.0,5.0,2.0,0.0,17.0,1.0,0.0,17.0,1.0
741,0.0,5.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
742,0.0,5.0,4.0,2.0,16.0,1.0,1.0,14.0,1.0
743,0.0,5.0,5.0,2.0,16.0,1.0,1.0,3.0,1.0
774,0.0,5.0,1.0,1.0,1.0,1.0,0.0,17.0,1.0
775,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
776,0.0,5.0,3.0,0.0,19.0,1.0,2.0,17.0,1.0
777,0.0,5.0,4.0,2.0,16.0,1.0,1.0,14.0,1.0
778,0.0,5.0,5.0,2.0,16.0,1.0,1.0,3.0,1.0
814,0.0,5.0,1.0,1.0,3.0,1.0,0.0,17.0,1.0
815,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
816,0.0,5.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
817,0.0,5.0,4.0,2.0,17.0,1.0,1.0,14.0,1.0
818,0.0,5.0,5.0,2.0,16.0,1.0,1.0,3.0,1.0
854,0.0,5.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
855,0.0,5.0,2.0,0.0,18.0,1.0,0.0,17.0,1.0
856,0.0,5.0,3.0,0.0,18.0,1.0,2.0,17.0,1.0
857,0.0,5.0,4.0,2.0,16.0,1.0,1.0,14.0,1.0
858,0.0,5.0,5.0,2.0,2.0,1.0,1.0,3.0,1.0
894,0.0,5.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
895,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
896,0.0,5.0,3.0,0.0,16.0,1.0,2.0,17.0,1.0
897,0.0,5.0,4.0,2.0,17.0,1.0,1.0,14.0,1.0
898,0.0,5.0,5.0,2.0,17.0,1.0,1.0,3.0,1.0
934,0.0,5.0,1.0,1.0,3.0,1.0,0.0,17.0,1.0
935,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
936,0.0,5.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
937,0.0,5.0,4.0,2.0,16.0,1.0,1.0,14.0,1.0
938,0.0,5.0,5.0,2.0,16.0,1.0,1.0,3.0,1.0
974,0.0,5.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
975,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
976,0.0,5.0,3.0,0.0,13.0,1.0,2.0,17.0,1.0
977,0.0,5.0,4.0,2.0,16.0,1.0,1.0,14.0,1.0
978,0.0,5.0,5.0,2.0,17.0,1.0,1.0,3.0,1.0
1014,0.0,5.0,1.0,1.0,3.0,1.0,0.0,17.0,1.0
1015,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
1016,0.0,5.0,3.0,0.0,19.0,1.0,2.0,17.0,1.0
1017,0.0,5.0,4.0,2.0,16.0,1.0,1.0,14.0,1.0
1018,0.0,5.0,5.0,2.0,2.0,1.0,1.0,3.0,1.0
1050,0.0,5.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
1051,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
1052,0.0,5.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
1053,0.0,5.0,4.0,2.0,17.0,1.0,1.0,14.0,1.0
1054,0.0,5.0,5.0,0.0,17.0,1.0,2.0,3.0,1.0
1090,0.0,5.0,1.0,1.0,3.0,1.0,0.0,17.0,1.0
1091,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
1092,0.0,5.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
1093,0.0,5.0,4.0,2.0,17.0,1.0,1.0,14.0,1.0
1094,0.0,5.0,5.0,0.0,17.0,1.0,2.0,3.0,1.0
1130,0.0,5.0,1.0,1.0,3.0,1.0,0.0,17.0,1.0
1131,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
1132,0.0,5.0,3.0,0.0,16.0,1.0,2.0,17.0,1.0
1133,0.0,5.0,4.0,2.0,16.0,1.0,1.0,14.0,1.0
1134,0.0,5.0,5.0,0.0,16.0,1.0,2.0,3.0,1.0
1170,0.0,5.0,1.0,1.0,3.0,1.0,0.0,17.0,1.0
1171,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
1172,0.0,5.0,3.0,0.0,19.0,1.0,2.0,17.0,1.0
1173,0.0,5.0,4.0,2.0,16.0,1.0,1.0,14.0,1.0
1174,0.0,5.0,5.0,0.0,16.0,1.0,1.0,3.0,1.0
1210,0.0,5.0,1.0,1.0,3.0,1.0,0.0,17.0,1.0
1211,0.0,5.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
