simRun, predUpDown, predUpDownLateny, predUpDownCost, predTightLoose, predTightLooseLatency, predTightLooseCosts, realUpDown, realUpDownLateny, realUpDownCost, realTightLoose, realTightLooseLatency, realTightLooseCosts, targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
1,2,0.000000,17.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,7,0,0.0217278,0.000477242
1,1,0.000000,17.000000,0,0,0,1,1.000000,6.000000,0,0,0,0,1,7,0,0.0217278,0.000477242
1,2,0.000000,17.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,7,0,0.0217278,0.000477242
1,1,0.000000,17.000000,0,0,0,1,0.000000,7.000000,0,0,0,0,1,7,0,0.0217278,0.000477242
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0.0217278,0.000477242
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0.0217278,0.000477242
1,2,0.000000,17.000000,0,0,0,2,0.000000,17.000000,0,0,0,0,1,7,0,0.0217278,0.000477242
1,2,0.000000,17.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,7,0,0.0217278,0.000477242
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0.014726,0.000218319
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0.014726,0.000218319
2,2,0.000000,17.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,21,0,0.014726,0.000218319
2,1,0.000000,17.000000,0,0,0,1,0.000000,7.000000,0,0,0,0,1,21,0,0.014726,0.000218319
2,2,0.000000,17.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,21,0,0.014726,0.000218319
2,1,0.000000,17.000000,0,0,0,1,0.000000,6.000000,0,0,0,0,1,21,0,0.014726,0.000218319
2,2,0.000000,17.000000,0,0,0,2,0.000000,17.000000,0,0,0,0,1,21,0,0.014726,0.000218319
2,1,0.000000,17.000000,0,0,0,1,0.000000,6.000000,0,0,0,0,1,21,0,0.014726,0.000218319
2,2,0.000000,17.000000,0,0,0,2,0.000000,17.000000,0,0,0,0,1,21,0,0.014726,0.000218319
2,1,0.000000,17.000000,0,0,0,1,1.000000,5.000000,0,0,0,0,1,21,0,0.014726,0.000218319
2,2,0.000000,17.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,21,0,0.014726,0.000218319
2,1,0.000000,17.000000,0,0,0,1,1.000000,6.000000,0,0,0,0,1,21,0,0.014726,0.000218319
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0.014726,0.000218319
2,2,0.000000,17.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,21,0,0.014726,0.000218319
2,1,0.000000,17.000000,0,0,0,1,1.000000,6.000000,0,0,0,0,1,21,0,0.014726,0.000218319
2,2,0.000000,17.000000,0,0,0,2,0.000000,17.000000,0,0,0,0,1,21,0,0.014726,0.000218319
2,1,0.000000,17.000000,0,0,0,1,1.000000,6.000000,0,0,0,0,1,21,0,0.014726,0.000218319
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0.014726,0.000218319
2,2,0.000000,17.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,21,0,0.014726,0.000218319
2,1,0.000000,17.000000,0,0,0,1,0.000000,6.000000,0,0,0,0,1,21,0,0.014726,0.000218319
2,2,0.000000,17.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,21,0,0.014726,0.000218319
2,2,0.000000,17.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,21,0,0.014726,0.000218319
3,2,0.000000,17.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,3,0,0.0154667,0.000239742
3,1,0.000000,17.000000,0,0,0,1,1.000000,6.000000,0,0,0,0,1,3,0,0.0154667,0.000239742
3,2,0.000000,17.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,3,0,0.0154667,0.000239742
3,2,0.000000,17.000000,0,0,0,2,0.000000,21.000000,0,0,0,0,1,3,0,0.0154667,0.000239742
4,2,0.000000,17.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,29,0,0.0882984,0.164081
4,1,0.000000,17.000000,0,0,0,0,0,0,0,0,0,0,1,29,0,0.0882984,0.164081
4,2,0.000000,17.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,29,0,0.0882984,0.164081
4,2,0.000000,17.000000,0,0,0,2,0.000000,21.000000,0,0,0,0,1,29,0,0.0882984,0.164081
4,1,0.000000,17.000000,0,0,0,1,0.000000,6.000000,0,0,0,0,1,29,0,0.0882984,0.164081
4,1,0.000000,17.000000,0,0,0,1,0.000000,6.000000,0,0,0,0,1,29,0,0.0882984,0.164081
4,2,0.000000,17.000000,0,0,0,2,0.000000,17.000000,0,0,0,0,1,29,0,0.0882984,0.164081
4,1,0.000000,17.000000,0,0,0,1,0.000000,6.000000,0,0,0,0,1,29,0,0.0882984,0.164081
4,2,0.000000,17.000000,0,0,0,2,0.000000,17.000000,0,0,0,0,1,29,0,0.0882984,0.164081
4,1,0.000000,17.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,29,0,0.0882984,0.164081
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0.0882984,0.164081
4,2,0.000000,17.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,29,0,0.0882984,0.164081
4,2,0.000000,17.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,29,0,0.0882984,0.164081
4,1,0.000000,17.000000,0,0,0,1,1.000000,6.000000,0,0,0,0,1,29,0,0.0882984,0.164081
4,2,0.000000,17.000000,0,0,0,2,0.000000,17.000000,0,0,0,0,1,29,0,0.0882984,0.164081
4,1,0.000000,17.000000,0,0,0,1,1.000000,7.000000,0,0,0,0,1,29,0,0.0882984,0.164081
4,1,0.000000,17.000000,0,0,0,1,1.000000,6.000000,0,0,0,0,1,29,0,0.0882984,0.164081
4,2,0.000000,17.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,29,0,0.0882984,0.164081
4,1,0.000000,17.000000,0,0,0,1,0.000000,6.000000,0,0,0,0,1,29,0,0.0882984,0.164081
4,2,0.000000,17.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,29,0,0.0882984,0.164081
4,1,0.000000,17.000000,0,0,0,1,0.000000,6.000000,0,0,0,0,1,29,0,0.0882984,0.164081
4,2,0.000000,17.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,29,0,0.0882984,0.164081
