,date,server,tactic,Latency,Cost,Reliability,Predicted_Latency,Predicted_Cost,Predicted_Reliability
28,0,3,1,0,14,1,57,14,0.92295
29,0,3,2,0,16,1,51,29,0.944282
30,0,3,3,0,19,1,51,25,0.945452
31,0,3,4,2,16,1,55,37,0.965295
32,0,3,5,2,16,1,37,32,0.955464
68,0,3,1,0,16,1,57,18,0.93527
69,0,3,2,0,16,1,50,32,0.95314
70,0,3,3,0,16,1,49,28,0.954426
71,0,3,4,2,16,1,56,34,0.968197
72,0,3,5,2,16,1,38,29,0.959093
108,0,3,1,0,15,1,57,15,0.938805
109,0,3,2,0,16,1,51,30,0.955669
110,0,3,3,0,16,1,50,26,0.956893
111,0,3,4,2,16,1,56,37,0.972453
112,0,3,5,2,16,1,37,32,0.964479
140,0,3,1,0,13,1,55,17,0.910627
141,0,3,2,0,21,1,50,32,0.933682
142,0,3,3,0,32,1,53,28,0.934994
143,0,3,4,2,16,1,55,34,0.955395
144,0,3,5,2,14,1,35,29,0.943138
176,0,3,1,0,17,1,58,11,0.922646
177,0,3,2,0,16,1,51,27,0.943605
178,0,3,3,0,19,1,51,22,0.945211
179,0,3,4,2,16,1,55,35,0.965653
180,0,3,5,0,16,1,37,31,0.954794
208,0,3,1,0,14,1,55,17,0.936161
209,0,3,2,0,16,1,49,32,0.953163
210,0,3,3,0,14,1,48,28,0.95489
211,0,3,4,2,16,1,55,34,0.968324
212,0,3,5,0,6,1,33,30,0.958858
244,0,3,1,0,16,1,55,16,0.91035
245,0,3,2,0,16,1,47,31,0.932329
246,0,3,3,0,14,1,46,28,0.934847
247,0,3,4,2,16,1,54,33,0.954162
248,0,3,5,2,16,1,35,28,0.940971
284,0,3,1,0,12,1,55,13,0.91918
285,0,3,2,0,16,1,49,28,0.941378
286,0,3,3,0,14,1,48,24,0.942977
287,0,3,4,2,16,1,54,35,0.963185
288,0,3,5,2,14,1,33,31,0.953035
320,0,3,1,0,14,1,55,16,0.929483
321,0,3,2,0,16,1,48,31,0.948782
322,0,3,3,0,14,1,47,27,0.950181
323,0,3,4,2,16,1,56,32,0.96486
324,0,3,5,0,16,1,38,27,0.953735
355,0,3,1,0,15,1,55,16,0.934092
356,0,3,2,0,16,1,48,31,0.952147
