,date,server,tactic,Latency,Cost,Reliability,Predicted_Latency,Predicted_Cost,Predicted_Reliability
25,0.0,8.0,1.0,2.0,4.0,1.0,0.0,17.0,1.0
26,0.0,8.0,2.0,0.0,16.0,1.0,0.0,16.0,1.0
27,0.0,8.0,3.0,0.0,18.0,1.0,2.0,17.0,1.0
28,0.0,8.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
29,0.0,8.0,5.0,0.0,16.0,1.0,1.0,2.0,1.0
61,0.0,8.0,1.0,1.0,3.0,1.0,0.0,17.0,1.0
62,0.0,8.0,2.0,0.0,16.0,1.0,0.0,16.0,1.0
63,0.0,8.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
64,0.0,8.0,4.0,2.0,17.0,1.0,1.0,16.0,1.0
65,0.0,8.0,5.0,2.0,17.0,1.0,2.0,2.0,1.0
101,0.0,8.0,1.0,1.0,3.0,1.0,0.0,16.0,1.0
102,0.0,8.0,2.0,0.0,17.0,1.0,0.0,16.0,1.0
103,0.0,8.0,3.0,0.0,16.0,1.0,2.0,17.0,1.0
104,0.0,8.0,4.0,2.0,17.0,1.0,0.0,10.0,1.0
105,0.0,8.0,5.0,2.0,16.0,1.0,1.0,2.0,1.0
141,0.0,8.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
142,0.0,8.0,2.0,0.0,16.0,1.0,0.0,19.0,1.0
143,0.0,8.0,3.0,0.0,22.0,1.0,2.0,17.0,1.0
144,0.0,8.0,4.0,2.0,16.0,1.0,0.0,13.0,1.0
145,0.0,8.0,5.0,2.0,12.0,1.0,1.0,2.0,1.0
176,0.0,8.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
177,0.0,8.0,2.0,0.0,16.0,1.0,0.0,20.0,1.0
178,0.0,8.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
179,0.0,8.0,4.0,2.0,17.0,1.0,1.0,16.0,1.0
180,0.0,8.0,5.0,2.0,17.0,1.0,1.0,2.0,1.0
216,0.0,8.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
217,0.0,8.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
218,0.0,8.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
219,0.0,8.0,4.0,2.0,17.0,1.0,0.0,15.0,1.0
220,0.0,8.0,5.0,2.0,16.0,1.0,2.0,2.0,1.0
256,0.0,8.0,1.0,1.0,4.0,1.0,0.0,16.0,1.0
257,0.0,8.0,2.0,0.0,16.0,1.0,0.0,14.0,1.0
258,0.0,8.0,3.0,0.0,19.0,1.0,2.0,17.0,1.0
259,0.0,8.0,4.0,2.0,17.0,1.0,0.0,9.0,1.0
260,0.0,8.0,5.0,2.0,16.0,1.0,2.0,2.0,1.0
296,0.0,8.0,1.0,1.0,3.0,1.0,0.0,17.0,1.0
297,0.0,8.0,2.0,0.0,16.0,1.0,0.0,20.0,1.0
298,0.0,8.0,3.0,0.0,19.0,1.0,2.0,17.0,1.0
299,0.0,8.0,4.0,2.0,16.0,1.0,0.0,10.0,1.0
300,0.0,8.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0
336,0.0,8.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
337,0.0,8.0,2.0,0.0,17.0,1.0,0.0,20.0,1.0
338,0.0,8.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
339,0.0,8.0,4.0,2.0,16.0,1.0,0.0,9.0,1.0
340,0.0,8.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0
376,0.0,8.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
377,0.0,8.0,2.0,0.0,16.0,1.0,0.0,19.0,1.0
378,0.0,8.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
379,0.0,8.0,4.0,2.0,17.0,1.0,1.0,16.0,1.0
380,0.0,8.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0
416,0.0,8.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
417,0.0,8.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
418,0.0,8.0,3.0,0.0,13.0,1.0,2.0,17.0,1.0
419,0.0,8.0,4.0,2.0,17.0,1.0,0.0,16.0,1.0
420,0.0,8.0,5.0,2.0,16.0,1.0,2.0,2.0,1.0
452,0.0,8.0,1.0,2.0,4.0,1.0,0.0,17.0,1.0
453,0.0,8.0,2.0,0.0,16.0,1.0,0.0,20.0,1.0
454,0.0,8.0,3.0,0.0,24.0,1.0,2.0,17.0,1.0
455,0.0,8.0,4.0,2.0,17.0,1.0,0.0,10.0,1.0
456,0.0,8.0,5.0,0.0,17.0,1.0,2.0,2.0,1.0
492,0.0,8.0,1.0,2.0,4.0,1.0,0.0,17.0,1.0
493,0.0,8.0,2.0,0.0,16.0,1.0,0.0,20.0,1.0
494,0.0,8.0,3.0,0.0,18.0,1.0,2.0,17.0,1.0
495,0.0,8.0,4.0,2.0,17.0,1.0,1.0,16.0,1.0
496,0.0,8.0,5.0,0.0,16.0,1.0,1.0,2.0,1.0
532,0.0,8.0,1.0,2.0,4.0,1.0,0.0,17.0,1.0
533,0.0,8.0,2.0,0.0,16.0,1.0,0.0,19.0,1.0
534,0.0,8.0,3.0,0.0,19.0,1.0,2.0,17.0,1.0
535,0.0,8.0,4.0,2.0,16.0,1.0,1.0,16.0,1.0
536,0.0,8.0,5.0,0.0,17.0,1.0,2.0,2.0,1.0
572,0.0,8.0,1.0,2.0,3.0,1.0,0.0,16.0,1.0
573,0.0,8.0,2.0,0.0,22.0,1.0,0.0,14.0,1.0
574,0.0,8.0,3.0,0.0,19.0,1.0,2.0,17.0,1.0
575,0.0,8.0,4.0,2.0,16.0,1.0,1.0,14.0,1.0
576,0.0,8.0,5.0,0.0,16.0,1.0,1.0,2.0,1.0
612,0.0,8.0,1.0,2.0,3.0,1.0,0.0,17.0,1.0
613,0.0,8.0,2.0,0.0,16.0,1.0,0.0,19.0,1.0
614,0.0,8.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
615,0.0,8.0,4.0,2.0,17.0,1.0,0.0,11.0,1.0
