simRun, predUpDown, predUpDownLateny, predUpDownCost, predTightLoose, predTightLooseLatency, predTightLooseCosts, realUpDown, realUpDownLateny, realUpDownCost, realTightLoose, realTightLooseLatency, realTightLooseCosts, targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
1,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,58,0,0.0354632,0.00982038
1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,58,0,0.0354632,0.00982038
1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,58,0,0.0354632,0.00982038
1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,58,0,0.0354632,0.00982038
1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,58,0,0.0354632,0.00982038
1,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,58,0,0.0354632,0.00982038
1,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,2,1.000000,18.000000,0,0,0,2,1.000000,18.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,58,0,0.0354632,0.00982038
1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,58,0,0.0354632,0.00982038
1,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,18.000000,0,0,0,1,1.000000,18.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,58,0,0.0354632,0.00982038
1,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,18.000000,0,0,0,1,1.000000,18.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,18.000000,0,0,0,1,1.000000,18.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,18.000000,0,0,0,1,1.000000,18.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,18.000000,0,0,0,1,1.000000,18.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,18.000000,0,0,0,1,1.000000,18.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,18.000000,0,0,0,1,1.000000,18.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,18.000000,0,0,0,1,1.000000,18.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,18.000000,0,0,0,1,1.000000,18.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,18.000000,0,0,0,1,1.000000,18.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,58,0,0.0354632,0.00982038
1,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,58,0,0.0354632,0.00982038
1,1,1.000000,18.000000,0,0,0,1,1.000000,18.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,2,1,58,0,0.0354632,0.00982038
1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,58,0,0.0354632,0.00982038
1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,58,0,0.0354632,0.00982038
2,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,0,0,39,0,0.0386567,0.0241495
2,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,0,0,39,0,0.0386567,0.0241495
2,2,1.000000,18.000000,0,0,0,2,1.000000,18.000000,0,0,0,0,0,39,0,0.0386567,0.0241495
2,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,0,0,39,0,0.0386567,0.0241495
2,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,0,0,39,0,0.0386567,0.0241495
2,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,0,0,39,0,0.0386567,0.0241495
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.0386567,0.0241495
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.0386567,0.0241495
2,2,1.000000,18.000000,0,0,0,2,1.000000,18.000000,0,0,0,0,0,39,0,0.0386567,0.0241495
2,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,0,0,39,0,0.0386567,0.0241495
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.0386567,0.0241495
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.0386567,0.0241495
2,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,0,0,39,0,0.0386567,0.0241495
2,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,0,0,39,0,0.0386567,0.0241495
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.0386567,0.0241495
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.0386567,0.0241495
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.0386567,0.0241495
2,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,0,0,39,0,0.0386567,0.0241495
2,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,0,0,39,0,0.0386567,0.0241495
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.0386567,0.0241495
2,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,0,0,39,0,0.0386567,0.0241495
2,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,0,0,39,0,0.0386567,0.0241495
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.0386567,0.0241495
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.0386567,0.0241495
2,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,0,0,39,0,0.0386567,0.0241495
2,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,0,0,39,0,0.0386567,0.0241495
2,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,0,0,39,0,0.0386567,0.0241495
2,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,0,0,39,0,0.0386567,0.0241495
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.0386567,0.0241495
2,2,1.000000,17.000000,0,0,0,2,1.000000,17.000000,0,0,0,0,0,39,0,0.0386567,0.0241495
2,1,1.000000,17.000000,0,0,0,1,1.000000,17.000000,0,0,0,0,0,39,0,0.0386567,0.0241495
