simRun, predUpDown, predUpDownLateny, predUpDownCost, predTightLoose, predTightLooseLatency, predTightLooseCosts, realUpDown, realUpDownLateny, realUpDownCost, realTightLoose, realTightLooseLatency, realTightLooseCosts, targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0.0254114,0.000704584
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0.0254114,0.000704584
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0.0254114,0.000704584
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0.0254114,0.000704584
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0.0254114,0.000704584
1,2,3.000000,21.000000,0,0,0,2,3.000000,21.000000,0,0,0,0,1,9,0,0.0254114,0.000704584
1,2,4.000000,19.000000,0,0,0,2,4.000000,19.000000,0,0,0,0,1,9,0,0.0254114,0.000704584
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0.0254114,0.000704584
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0.0254114,0.000704584
1,2,3.000000,21.000000,0,0,0,2,3.000000,21.000000,0,0,0,0,1,9,0,0.0254114,0.000704584
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0.0123329,0.000154341
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0.0123329,0.000154341
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0.0123329,0.000154341
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0.0123329,0.000154341
2,2,3.000000,21.000000,0,0,0,2,3.000000,21.000000,0,0,0,0,1,20,0,0.0123329,0.000154341
2,1,3.000000,21.000000,0,0,0,1,3.000000,21.000000,0,0,0,0,1,20,0,0.0123329,0.000154341
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0.0123329,0.000154341
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0.0123329,0.000154341
2,2,3.000000,20.000000,0,0,0,2,3.000000,20.000000,0,0,0,0,1,20,0,0.0123329,0.000154341
2,2,3.000000,21.000000,0,0,0,2,3.000000,21.000000,0,0,0,0,1,20,0,0.0123329,0.000154341
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0.0123329,0.000154341
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0.0123329,0.000154341
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0.0123329,0.000154341
2,1,3.000000,21.000000,0,0,0,1,3.000000,21.000000,0,0,0,0,1,20,0,0.0123329,0.000154341
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0.0123329,0.000154341
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0.0123329,0.000154341
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0.0123329,0.000154341
2,2,3.000000,21.000000,0,0,0,2,3.000000,21.000000,0,0,0,0,1,20,0,0.0123329,0.000154341
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0.0123329,0.000154341
2,2,4.000000,19.000000,0,0,0,2,4.000000,19.000000,0,0,0,0,1,20,0,0.0123329,0.000154341
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0.0123329,0.000154341
3,2,3.000000,21.000000,0,0,0,2,3.000000,21.000000,0,0,0,0,1,6,0,1.20394,9.91808
3,1,4.000000,21.000000,0,0,0,1,4.000000,21.000000,0,0,0,0,1,6,0,1.20394,9.91808
3,2,4.000000,19.000000,0,0,0,2,4.000000,19.000000,0,0,0,0,1,6,0,1.20394,9.91808
3,2,4.000000,21.000000,0,0,0,2,4.000000,21.000000,0,0,0,0,1,6,0,1.20394,9.91808
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1.20394,9.91808
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1.20394,9.91808
3,2,4.000000,19.000000,0,0,0,2,4.000000,19.000000,0,0,0,0,1,6,0,1.20394,9.91808
4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,0,0.0131614,0.000178198
4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,0,0.0131614,0.000178198
4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,0,0.0131614,0.000178198
4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,0,0.0131614,0.000178198
4,2,3.000000,21.000000,0,0,0,2,3.000000,21.000000,0,0,0,1,1,23,0,0.0131614,0.000178198
4,2,3.000000,21.000000,0,0,0,2,3.000000,21.000000,0,0,0,1,1,23,0,0.0131614,0.000178198
4,1,4.000000,20.000000,0,0,0,1,4.000000,20.000000,0,0,0,1,1,23,0,0.0131614,0.000178198
4,1,3.000000,20.000000,0,0,0,1,3.000000,20.000000,0,0,0,1,1,23,0,0.0131614,0.000178198
4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,0,0.0131614,0.000178198
4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,0,0.0131614,0.000178198
4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,0,0.0131614,0.000178198
4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,0,0.0131614,0.000178198
4,2,4.000000,21.000000,0,0,0,2,4.000000,21.000000,0,0,0,1,1,23,0,0.0131614,0.000178198
4,1,3.000000,21.000000,0,0,0,1,3.000000,21.000000,0,0,0,1,1,23,0,0.0131614,0.000178198
4,1,5.000000,20.000000,0,0,0,1,5.000000,20.000000,0,0,0,1,1,23,0,0.0131614,0.000178198
4,1,4.000000,20.000000,0,0,0,1,4.000000,20.000000,0,0,0,1,1,23,0,0.0131614,0.000178198
4,2,4.000000,20.000000,0,0,0,2,4.000000,20.000000,0,0,0,1,1,23,0,0.0131614,0.000178198
4,2,3.000000,21.000000,0,0,0,2,3.000000,21.000000,0,0,0,1,1,23,0,0.0131614,0.000178198
4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,0,0.0131614,0.000178198
4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,0,0.0131614,0.000178198
4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,0,0.0131614,0.000178198
4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,0,0.0131614,0.000178198
4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,0,0.0131614,0.000178198
4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,0,0.0131614,0.000178198
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0.0130675,0.000171597
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0.0130675,0.000171597
5,2,4.000000,19.000000,0,0,0,2,4.000000,19.000000,0,0,0,0,1,7,0,0.0130675,0.000171597
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0.0130675,0.000171597
5,2,3.000000,21.000000,0,0,0,2,3.000000,21.000000,0,0,0,0,1,7,0,0.0130675,0.000171597
5,2,3.000000,21.000000,0,0,0,2,3.000000,21.000000,0,0,0,0,1,7,0,0.0130675,0.000171597
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0.0130675,0.000171597
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0.0130675,0.000171597
6,2,3.000000,21.000000,0,0,0,2,3.000000,21.000000,0,0,0,0,1,25,0,0.0154088,0.000368408
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0154088,0.000368408
6,1,4.000000,20.000000,0,0,0,1,4.000000,20.000000,0,0,0,0,1,25,0,0.0154088,0.000368408
6,2,4.000000,21.000000,0,0,0,2,4.000000,21.000000,0,0,0,0,1,25,0,0.0154088,0.000368408
6,1,3.000000,21.000000,0,0,0,1,3.000000,21.000000,0,0,0,0,1,25,0,0.0154088,0.000368408
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0154088,0.000368408
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0154088,0.000368408
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0154088,0.000368408
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0154088,0.000368408
6,2,3.000000,21.000000,0,0,0,2,3.000000,21.000000,0,0,0,0,1,25,0,0.0154088,0.000368408
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0154088,0.000368408
6,1,4.000000,20.000000,0,0,0,1,4.000000,20.000000,0,0,0,0,1,25,0,0.0154088,0.000368408
6,2,4.000000,21.000000,0,0,0,2,4.000000,21.000000,0,0,0,0,1,25,0,0.0154088,0.000368408
6,1,3.000000,21.000000,0,0,0,1,3.000000,21.000000,0,0,0,0,1,25,0,0.0154088,0.000368408
6,2,5.000000,20.000000,0,0,0,2,5.000000,20.000000,0,0,0,0,1,25,0,0.0154088,0.000368408
6,1,4.000000,20.000000,0,0,0,1,4.000000,20.000000,0,0,0,0,1,25,0,0.0154088,0.000368408
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0154088,0.000368408
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0154088,0.000368408
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0154088,0.000368408
6,2,4.000000,19.000000,0,0,0,2,4.000000,19.000000,0,0,0,0,1,25,0,0.0154088,0.000368408
6,1,4.000000,21.000000,0,0,0,1,4.000000,21.000000,0,0,0,0,1,25,0,0.0154088,0.000368408
6,2,4.000000,20.000000,0,0,0,2,4.000000,20.000000,0,0,0,0,1,25,0,0.0154088,0.000368408
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0154088,0.000368408
6,2,4.000000,19.000000,0,0,0,2,4.000000,19.000000,0,0,0,0,1,25,0,0.0154088,0.000368408
6,2,4.000000,19.000000,0,0,0,2,4.000000,19.000000,0,0,0,0,1,25,0,0.0154088,0.000368408
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0154088,0.000368408
7,2,3.000000,21.000000,0,0,0,2,3.000000,21.000000,0,0,0,0,1,30,0,0.0430498,0.030433
7,2,3.000000,21.000000,0,0,0,2,3.000000,21.000000,0,0,0,0,1,30,0,0.0430498,0.030433
7,1,4.000000,20.000000,0,0,0,1,4.000000,20.000000,0,0,0,0,1,30,0,0.0430498,0.030433
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0430498,0.030433
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0430498,0.030433
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0430498,0.030433
7,1,4.000000,20.000000,0,0,0,1,4.000000,20.000000,0,0,0,0,1,30,0,0.0430498,0.030433
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0430498,0.030433
7,2,3.000000,20.000000,0,0,0,2,3.000000,20.000000,0,0,0,0,1,30,0,0.0430498,0.030433
7,2,3.000000,21.000000,0,0,0,2,3.000000,21.000000,0,0,0,0,1,30,0,0.0430498,0.030433
7,1,4.000000,21.000000,0,0,0,1,4.000000,21.000000,0,0,0,0,1,30,0,0.0430498,0.030433
7,1,4.000000,20.000000,0,0,0,1,4.000000,20.000000,0,0,0,0,1,30,0,0.0430498,0.030433
7,1,4.000000,21.000000,0,0,0,1,4.000000,21.000000,0,0,0,0,1,30,0,0.0430498,0.030433
7,1,3.000000,21.000000,0,0,0,1,3.000000,21.000000,0,0,0,0,1,30,0,0.0430498,0.030433
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0430498,0.030433
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0430498,0.030433
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0430498,0.030433
7,2,3.000000,21.000000,0,0,0,2,3.000000,21.000000,0,0,0,0,1,30,0,0.0430498,0.030433
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0430498,0.030433
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0430498,0.030433
7,2,4.000000,21.000000,0,0,0,2,4.000000,21.000000,0,0,0,0,1,30,0,0.0430498,0.030433
7,1,4.000000,20.000000,0,0,0,1,4.000000,20.000000,0,0,0,0,1,30,0,0.0430498,0.030433
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0430498,0.030433
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0430498,0.030433
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0430498,0.030433
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0430498,0.030433
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0430498,0.030433
7,2,4.000000,21.000000,0,0,0,2,4.000000,21.000000,0,0,0,0,1,30,0,0.0430498,0.030433
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0430498,0.030433
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0430498,0.030433
7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0.0430498,0.030433
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,2,3.000000,21.000000,0,0,0,2,3.000000,21.000000,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,1,3.000000,21.000000,0,0,0,1,3.000000,21.000000,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,2,4.000000,21.000000,0,0,0,2,4.000000,21.000000,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,1,3.000000,21.000000,0,0,0,1,3.000000,21.000000,0,0,0,1,0,39,0,0.0115141,0.000134077
8,1,4.000000,21.000000,0,0,0,1,4.000000,21.000000,0,0,0,1,0,39,0,0.0115141,0.000134077
8,2,4.000000,19.000000,0,0,0,2,4.000000,19.000000,0,0,0,1,0,39,0,0.0115141,0.000134077
8,2,4.000000,21.000000,0,0,0,2,4.000000,21.000000,0,0,0,1,0,39,0,0.0115141,0.000134077
8,1,4.000000,20.000000,0,0,0,1,4.000000,20.000000,0,0,0,1,0,39,0,0.0115141,0.000134077
8,1,4.000000,21.000000,0,0,0,1,4.000000,21.000000,0,0,0,1,0,39,0,0.0115141,0.000134077
8,2,4.000000,19.000000,0,0,0,2,4.000000,19.000000,0,0,0,1,0,39,0,0.0115141,0.000134077
8,2,4.000000,19.000000,0,0,0,2,4.000000,19.000000,0,0,0,1,0,39,0,0.0115141,0.000134077
8,2,4.000000,20.000000,0,0,0,2,4.000000,20.000000,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,1,4.000000,20.000000,0,0,0,1,4.000000,20.000000,0,0,0,1,0,39,0,0.0115141,0.000134077
8,2,4.000000,20.000000,0,0,0,2,4.000000,20.000000,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0.0115141,0.000134077
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.0623057,0.095478
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.0623057,0.095478
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.0623057,0.095478
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.0623057,0.095478
9,2,3.000000,21.000000,0,0,0,2,3.000000,21.000000,0,0,0,0,0,39,0,0.0623057,0.095478
9,1,3.000000,21.000000,0,0,0,1,3.000000,21.000000,0,0,0,0,0,39,0,0.0623057,0.095478
9,2,4.000000,19.000000,0,0,0,2,4.000000,19.000000,0,0,0,0,0,39,0,0.0623057,0.095478
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.0623057,0.095478
