,date,server,tactic,Latency,Cost,Reliability,Predicted_Latency,Predicted_Cost,Predicted_Reliability
30,0.0,1.0,1.0,2.0,2.0,1.0,3.0,22.0,1.0
31,0.0,1.0,2.0,0.0,16.0,1.0,3.0,21.0,1.0
32,0.0,1.0,3.0,0.0,13.0,1.0,4.0,17.0,1.0
33,0.0,1.0,4.0,2.0,17.0,1.0,2.0,15.0,1.0
34,0.0,1.0,5.0,0.0,17.0,1.0,3.0,11.0,1.0
66,0.0,1.0,1.0,1.0,2.0,1.0,4.0,21.0,1.0
67,0.0,1.0,2.0,0.0,16.0,1.0,3.0,21.0,1.0
68,0.0,1.0,3.0,0.0,14.0,1.0,4.0,17.0,1.0
69,0.0,1.0,4.0,2.0,16.0,1.0,2.0,14.0,1.0
70,0.0,1.0,5.0,2.0,16.0,1.0,3.0,11.0,1.0
106,0.0,1.0,1.0,1.0,2.0,1.0,4.0,20.0,1.0
107,0.0,1.0,2.0,0.0,16.0,1.0,4.0,19.0,1.0
108,0.0,1.0,3.0,0.0,13.0,1.0,4.0,16.0,1.0
109,0.0,1.0,4.0,2.0,16.0,1.0,3.0,15.0,1.0
110,0.0,1.0,5.0,2.0,4.0,1.0,6.0,11.0,1.0
146,0.0,1.0,1.0,1.0,2.0,1.0,4.0,21.0,1.0
147,0.0,1.0,2.0,0.0,16.0,1.0,4.0,21.0,1.0
148,0.0,1.0,3.0,0.0,19.0,1.0,4.0,17.0,1.0
149,0.0,1.0,4.0,2.0,17.0,1.0,2.0,15.0,1.0
150,0.0,1.0,5.0,2.0,14.0,1.0,4.0,11.0,1.0
181,0.0,1.0,1.0,1.0,2.0,1.0,3.0,21.0,1.0
182,0.0,1.0,2.0,0.0,16.0,1.0,3.0,21.0,1.0
183,0.0,1.0,3.0,0.0,14.0,1.0,4.0,17.0,1.0
184,0.0,1.0,4.0,2.0,16.0,1.0,2.0,15.0,1.0
185,0.0,1.0,5.0,2.0,17.0,1.0,4.0,11.0,1.0
221,0.0,1.0,1.0,1.0,2.0,1.0,3.0,21.0,1.0
222,0.0,1.0,2.0,0.0,16.0,1.0,3.0,21.0,1.0
223,0.0,1.0,3.0,0.0,18.0,1.0,4.0,17.0,1.0
224,0.0,1.0,4.0,2.0,16.0,1.0,2.0,14.0,1.0
225,0.0,1.0,5.0,2.0,7.0,1.0,3.0,11.0,1.0
261,0.0,1.0,1.0,1.0,2.0,1.0,4.0,20.0,1.0
