,realUtility,predictedUtility
0,0.0,2000000000.0
1,10000000000.0,2000000000.0
2,833333333.3333334,833333333.3333334
3,5000000000.0,1666666666.6666667
4,1250000000.0,1250000000.0
5,1428571428.5714285,1428571428.5714285
6,1428571428.5714285,1428571428.5714285
7,2500000000.0,2500000000.0
8,1666666666.6666667,1666666666.6666667
9,1111111111.1111112,1111111111.1111112
10,1000000000.0,208333333.33333334
11,2500000000.0,75187969.92481203
12,2000000000.0,2000000000.0
13,1428571428.5714285,1428571428.5714285
14,1000000000.0,1000000000.0
15,1111111111.1111112,1111111111.1111112
16,1111111111.1111112,1111111111.1111112
17,1111111111.1111112,1111111111.1111112
18,2000000000.0,2000000000.0
19,1250000000.0,1250000000.0
20,1250000000.0,1250000000.0
21,1250000000.0,1250000000.0
22,769230769.2307693,769230769.2307693
23,769230769.2307693,769230769.2307693
24,833333333.3333334,833333333.3333334
25,909090909.0909091,833333333.3333334
26,714285714.2857143,714285714.2857143
27,833333333.3333334,625000000.0
28,1428571428.5714285,1111111111.1111112
29,5000000000.0,1111111111.1111112
