,date,server,tactic,Latency,Cost,Reliability,Predicted_Latency,Predicted_Cost,Predicted_Reliability
3,0.0,6.0,1.0,1.0,3.0,1.0,53.0,35.0,0.713925
4,0.0,6.0,2.0,0.0,16.0,1.0,50.0,46.0,0.782643
5,0.0,6.0,3.0,0.0,18.0,1.0,49.0,43.0,0.793411
6,0.0,6.0,4.0,2.0,16.0,1.0,57.0,46.0,0.8249850000000001
7,0.0,6.0,5.0,2.0,16.0,1.0,39.0,43.0,0.8177810000000001
43,0.0,6.0,1.0,1.0,3.0,1.0,56.0,26.0,0.896991
44,0.0,6.0,2.0,0.0,16.0,1.0,54.0,40.0,0.925125
45,0.0,6.0,3.0,0.0,14.0,1.0,53.0,37.0,0.926124
46,0.0,6.0,4.0,2.0,16.0,1.0,57.0,46.0,0.954485
47,0.0,6.0,5.0,2.0,4.0,1.0,34.0,43.0,0.943415
83,0.0,6.0,1.0,1.0,3.0,1.0,55.0,32.0,0.9154950000000001
84,0.0,6.0,2.0,0.0,16.0,1.0,52.0,44.0,0.93819
85,0.0,6.0,3.0,0.0,14.0,1.0,51.0,41.0,0.9391120000000001
86,0.0,6.0,4.0,2.0,16.0,1.0,58.0,46.0,0.9587450000000001
87,0.0,6.0,5.0,2.0,16.0,1.0,41.0,43.0,0.947558
119,0.0,6.0,1.0,2.0,3.0,1.0,54.0,33.0,0.8790459999999999
120,0.0,6.0,2.0,0.0,16.0,1.0,52.0,42.0,0.9066200000000001
121,0.0,6.0,3.0,0.0,18.0,1.0,51.0,39.0,0.9179889999999999
122,0.0,6.0,4.0,2.0,16.0,1.0,56.0,46.0,0.9278
123,0.0,6.0,5.0,0.0,16.0,1.0,38.0,43.0,0.919575
155,0.0,6.0,1.0,1.0,3.0,1.0,56.0,26.0,0.8844870000000001
156,0.0,6.0,2.0,0.0,16.0,1.0,53.0,40.0,0.916277
157,0.0,6.0,3.0,0.0,18.0,1.0,53.0,36.0,0.916794
158,0.0,6.0,4.0,2.0,16.0,1.0,57.0,46.0,0.9490049999999999
159,0.0,6.0,5.0,2.0,16.0,1.0,39.0,43.0,0.9356190000000001
187,0.0,6.0,1.0,1.0,3.0,1.0,53.0,34.0,0.9154209999999999
188,0.0,6.0,2.0,0.0,17.0,1.0,52.0,44.0,0.935293
189,0.0,6.0,3.0,0.0,13.0,1.0,48.0,42.0,0.944232
190,0.0,6.0,4.0,2.0,16.0,1.0,57.0,45.0,0.946441
191,0.0,6.0,5.0,2.0,2.0,1.0,33.0,41.0,0.9429540000000001
223,0.0,6.0,1.0,2.0,3.0,1.0,54.0,31.0,0.918748
224,0.0,6.0,2.0,0.0,16.0,1.0,51.0,44.0,0.939836
225,0.0,6.0,3.0,0.0,13.0,1.0,50.0,41.0,0.940729
226,0.0,6.0,4.0,2.0,16.0,1.0,58.0,45.0,0.959844
227,0.0,6.0,5.0,0.0,3.0,1.0,34.0,42.0,0.9487469999999999
259,0.0,6.0,1.0,1.0,3.0,1.0,53.0,30.0,0.881481
260,0.0,6.0,2.0,0.0,16.0,1.0,50.0,43.0,0.9138370000000001
261,0.0,6.0,3.0,0.0,30.0,1.0,54.0,40.0,0.9130590000000001
262,0.0,6.0,4.0,2.0,17.0,1.0,56.0,45.0,0.942457
263,0.0,6.0,5.0,2.0,2.0,1.0,31.0,42.0,0.9294959999999999
295,0.0,6.0,1.0,2.0,3.0,1.0,54.0,28.0,0.8999889999999999
296,0.0,6.0,2.0,0.0,16.0,1.0,52.0,39.0,0.9229569999999999
297,0.0,6.0,3.0,0.0,14.0,1.0,50.0,37.0,0.930265
298,0.0,6.0,4.0,2.0,17.0,1.0,56.0,45.0,0.942116
299,0.0,6.0,5.0,0.0,17.0,1.0,39.0,42.0,0.934925
330,0.0,6.0,1.0,2.0,3.0,1.0,54.0,29.0,0.9088799999999999
331,0.0,6.0,2.0,0.0,16.0,1.0,51.0,42.0,0.931055
332,0.0,6.0,3.0,0.0,19.0,1.0,52.0,39.0,0.9327540000000001
333,0.0,6.0,4.0,2.0,17.0,1.0,56.0,47.0,0.956777
334,0.0,6.0,5.0,0.0,16.0,1.0,38.0,43.0,0.94301
370,0.0,6.0,1.0,2.0,4.0,1.0,54.0,28.0,0.906702
371,0.0,6.0,2.0,0.0,16.0,1.0,51.0,42.0,0.9324479999999999
372,0.0,6.0,3.0,0.0,13.0,1.0,50.0,38.0,0.9334469999999999
373,0.0,6.0,4.0,2.0,16.0,1.0,58.0,42.0,0.953116
374,0.0,6.0,5.0,0.0,16.0,1.0,41.0,39.0,0.939042
406,0.0,6.0,1.0,1.0,3.0,1.0,54.0,28.0,0.9137049999999999
407,0.0,6.0,2.0,0.0,16.0,1.0,52.0,41.0,0.937883
408,0.0,6.0,3.0,0.0,14.0,1.0,51.0,38.0,0.938969
409,0.0,6.0,4.0,2.0,16.0,1.0,58.0,41.0,0.9566979999999999
410,0.0,6.0,5.0,2.0,16.0,1.0,41.0,38.0,0.9450149999999999
441,0.0,6.0,1.0,1.0,3.0,1.0,52.0,30.0,0.8893629999999999
442,0.0,6.0,2.0,0.0,16.0,1.0,49.0,43.0,0.917149
443,0.0,6.0,3.0,0.0,14.0,1.0,48.0,40.0,0.9196030000000001
444,0.0,6.0,4.0,2.0,16.0,1.0,56.0,44.0,0.9429280000000001
445,0.0,6.0,5.0,2.0,16.0,1.0,38.0,39.0,0.9268850000000001
481,0.0,6.0,1.0,1.0,3.0,1.0,54.0,26.0,0.883084
482,0.0,6.0,2.0,0.0,16.0,1.0,51.0,40.0,0.915357
483,0.0,6.0,3.0,0.0,19.0,1.0,52.0,36.0,0.9159200000000001
484,0.0,6.0,4.0,2.0,16.0,1.0,55.0,45.0,0.947631
485,0.0,6.0,5.0,2.0,16.0,1.0,37.0,42.0,0.9338860000000001
521,0.0,6.0,1.0,1.0,3.0,1.0,53.0,29.0,0.8980809999999999
522,0.0,6.0,2.0,0.0,16.0,1.0,50.0,42.0,0.926618
523,0.0,6.0,3.0,0.0,21.0,1.0,51.0,39.0,0.9267049999999999
524,0.0,6.0,4.0,2.0,16.0,1.0,57.0,43.0,0.9498059999999999
525,0.0,6.0,5.0,2.0,16.0,1.0,39.0,40.0,0.9365829999999999
556,0.0,6.0,1.0,1.0,3.0,1.0,53.0,28.0,0.914242
557,0.0,6.0,2.0,0.0,16.0,1.0,50.0,42.0,0.9360629999999999
558,0.0,6.0,3.0,0.0,14.0,1.0,50.0,38.0,0.938192
559,0.0,6.0,4.0,2.0,16.0,1.0,55.0,46.0,0.9601709999999999
560,0.0,6.0,5.0,2.0,2.0,1.0,33.0,37.0,0.944348
591,0.0,6.0,1.0,1.0,3.0,1.0,54.0,27.0,0.917559
592,0.0,6.0,2.0,0.0,16.0,1.0,51.0,41.0,0.938485
593,0.0,6.0,3.0,0.0,14.0,1.0,50.0,37.0,0.9404309999999999
594,0.0,6.0,4.0,2.0,16.0,1.0,56.0,46.0,0.9619709999999999
595,0.0,6.0,5.0,2.0,16.0,1.0,37.0,42.0,0.950896
631,0.0,6.0,1.0,1.0,3.0,1.0,54.0,28.0,0.916795
632,0.0,6.0,2.0,0.0,16.0,1.0,51.0,42.0,0.9399
633,0.0,6.0,3.0,0.0,16.0,1.0,50.0,38.0,0.9409040000000001
634,0.0,6.0,4.0,2.0,16.0,1.0,57.0,42.0,0.958801
635,0.0,6.0,5.0,2.0,16.0,1.0,40.0,39.0,0.947522
671,0.0,6.0,1.0,1.0,3.0,1.0,52.0,28.0,0.8740479999999999
672,0.0,6.0,2.0,0.0,16.0,1.0,49.0,42.0,0.909693
673,0.0,6.0,3.0,0.0,18.0,1.0,49.0,38.0,0.910027
674,0.0,6.0,4.0,2.0,17.0,1.0,56.0,43.0,0.9382729999999999
675,0.0,6.0,5.0,2.0,16.0,1.0,37.0,40.0,0.922636
707,0.0,6.0,1.0,2.0,3.0,1.0,51.0,32.0,0.9130149999999999
708,0.0,6.0,2.0,0.0,16.0,1.0,49.0,42.0,0.932736
709,0.0,6.0,3.0,0.0,14.0,1.0,47.0,40.0,0.940486
710,0.0,6.0,4.0,2.0,17.0,1.0,56.0,43.0,0.9443600000000001
711,0.0,6.0,5.0,0.0,6.0,1.0,33.0,40.0,0.938541
747,0.0,6.0,1.0,2.0,3.0,1.0,53.0,27.0,0.906508
