,date,server,tactic,Latency,Cost,Reliability,Predicted_Latency,Predicted_Cost,Predicted_Reliability
35,0.0,2.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
36,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
37,0.0,2.0,3.0,0.0,19.0,1.0,2.0,17.0,1.0
38,0.0,2.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
39,0.0,2.0,5.0,0.0,16.0,1.0,1.0,14.0,1.0
71,0.0,2.0,1.0,0.0,5.0,1.0,0.0,17.0,1.0
72,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
73,0.0,2.0,3.0,0.0,18.0,1.0,2.0,17.0,1.0
74,0.0,2.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
75,0.0,2.0,5.0,2.0,17.0,1.0,0.0,13.0,1.0
111,0.0,2.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
112,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
113,0.0,2.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
114,0.0,2.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
115,0.0,2.0,5.0,2.0,17.0,1.0,0.0,13.0,1.0
151,0.0,2.0,1.0,0.0,4.0,1.0,0.0,17.0,1.0
152,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
153,0.0,2.0,3.0,0.0,22.0,1.0,2.0,17.0,1.0
154,0.0,2.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
155,0.0,2.0,5.0,2.0,17.0,1.0,0.0,13.0,1.0
186,0.0,2.0,1.0,0.0,4.0,1.0,0.0,17.0,1.0
187,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
188,0.0,2.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
189,0.0,2.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
190,0.0,2.0,5.0,2.0,17.0,1.0,0.0,13.0,1.0
226,0.0,2.0,1.0,0.0,4.0,1.0,0.0,17.0,1.0
227,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
228,0.0,2.0,3.0,0.0,16.0,1.0,2.0,17.0,1.0
229,0.0,2.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
230,0.0,2.0,5.0,2.0,16.0,1.0,0.0,14.0,1.0
266,0.0,2.0,1.0,0.0,3.0,1.0,0.0,17.0,1.0
267,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
268,0.0,2.0,3.0,0.0,18.0,1.0,2.0,17.0,1.0
269,0.0,2.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
270,0.0,2.0,5.0,2.0,17.0,1.0,0.0,13.0,1.0
306,0.0,2.0,1.0,0.0,4.0,1.0,0.0,17.0,1.0
307,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
308,0.0,2.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
309,0.0,2.0,4.0,2.0,17.0,1.0,1.0,15.0,1.0
310,0.0,2.0,5.0,2.0,5.0,1.0,0.0,13.0,1.0
346,0.0,2.0,1.0,0.0,4.0,1.0,0.0,17.0,1.0
347,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
348,0.0,2.0,3.0,0.0,24.0,1.0,2.0,17.0,1.0
349,0.0,2.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
350,0.0,2.0,5.0,2.0,17.0,1.0,0.0,13.0,1.0
386,0.0,2.0,1.0,0.0,4.0,1.0,0.0,17.0,1.0
387,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
388,0.0,2.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
389,0.0,2.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
390,0.0,2.0,5.0,2.0,17.0,1.0,0.0,13.0,1.0
426,0.0,2.0,1.0,0.0,3.0,1.0,0.0,17.0,1.0
427,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
428,0.0,2.0,3.0,0.0,19.0,1.0,2.0,17.0,1.0
429,0.0,2.0,4.0,2.0,17.0,1.0,1.0,15.0,1.0
430,0.0,2.0,5.0,2.0,17.0,1.0,0.0,14.0,1.0
462,0.0,2.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
463,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
464,0.0,2.0,3.0,0.0,19.0,1.0,2.0,17.0,1.0
465,0.0,2.0,4.0,2.0,17.0,1.0,1.0,15.0,1.0
466,0.0,2.0,5.0,0.0,2.0,1.0,1.0,13.0,1.0
502,0.0,2.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
503,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
504,0.0,2.0,3.0,0.0,18.0,1.0,2.0,17.0,1.0
505,0.0,2.0,4.0,2.0,17.0,1.0,1.0,15.0,1.0
506,0.0,2.0,5.0,0.0,17.0,1.0,1.0,14.0,1.0
542,0.0,2.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
543,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
544,0.0,2.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
545,0.0,2.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
546,0.0,2.0,5.0,0.0,16.0,1.0,1.0,13.0,1.0
582,0.0,2.0,1.0,1.0,3.0,1.0,0.0,17.0,1.0
583,0.0,2.0,2.0,0.0,16.0,1.0,1.0,17.0,1.0
584,0.0,2.0,3.0,0.0,19.0,1.0,2.0,17.0,1.0
585,0.0,2.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
586,0.0,2.0,5.0,0.0,16.0,1.0,1.0,13.0,1.0
622,0.0,2.0,1.0,2.0,2.0,1.0,0.0,17.0,1.0
623,0.0,2.0,2.0,0.0,18.0,1.0,1.0,17.0,1.0
624,0.0,2.0,3.0,0.0,32.0,1.0,3.0,17.0,1.0
625,0.0,2.0,4.0,2.0,17.0,1.0,1.0,15.0,1.0
626,0.0,2.0,5.0,0.0,2.0,1.0,1.0,13.0,1.0
662,0.0,2.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
663,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
664,0.0,2.0,3.0,0.0,18.0,1.0,2.0,17.0,1.0
665,0.0,2.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
666,0.0,2.0,5.0,0.0,16.0,1.0,1.0,14.0,1.0
698,0.0,2.0,1.0,0.0,4.0,1.0,0.0,17.0,1.0
699,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
700,0.0,2.0,3.0,0.0,18.0,1.0,2.0,17.0,1.0
701,0.0,2.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
702,0.0,2.0,5.0,2.0,17.0,1.0,0.0,13.0,1.0
738,0.0,2.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
739,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
740,0.0,2.0,3.0,0.0,32.0,1.0,3.0,17.0,1.0
741,0.0,2.0,4.0,2.0,17.0,1.0,1.0,15.0,1.0
742,0.0,2.0,5.0,2.0,17.0,1.0,0.0,13.0,1.0
774,0.0,2.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
775,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
776,0.0,2.0,3.0,0.0,19.0,1.0,3.0,17.0,1.0
777,0.0,2.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
778,0.0,2.0,5.0,0.0,16.0,1.0,1.0,13.0,1.0
814,0.0,2.0,1.0,1.0,4.0,1.0,1.0,17.0,1.0
815,0.0,2.0,2.0,0.0,16.0,1.0,1.0,17.0,1.0
816,0.0,2.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
817,0.0,2.0,4.0,2.0,17.0,1.0,1.0,15.0,1.0
818,0.0,2.0,5.0,0.0,17.0,1.0,1.0,13.0,1.0
854,0.0,2.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
855,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
856,0.0,2.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
857,0.0,2.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
858,0.0,2.0,5.0,0.0,17.0,1.0,1.0,13.0,1.0
889,0.0,2.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
890,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
891,0.0,2.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
892,0.0,2.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
893,0.0,2.0,5.0,0.0,17.0,1.0,1.0,14.0,1.0
929,0.0,2.0,1.0,1.0,4.0,1.0,0.0,17.0,1.0
930,0.0,2.0,2.0,0.0,16.0,1.0,1.0,17.0,1.0
931,0.0,2.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
932,0.0,2.0,4.0,2.0,17.0,1.0,1.0,15.0,1.0
933,0.0,2.0,5.0,0.0,16.0,1.0,1.0,13.0,1.0
965,0.0,2.0,1.0,0.0,4.0,1.0,0.0,17.0,1.0
966,0.0,2.0,2.0,0.0,16.0,1.0,1.0,17.0,1.0
967,0.0,2.0,3.0,0.0,24.0,1.0,3.0,17.0,1.0
968,0.0,2.0,4.0,2.0,17.0,1.0,1.0,15.0,1.0
969,0.0,2.0,5.0,2.0,17.0,1.0,0.0,13.0,1.0
1005,0.0,2.0,1.0,0.0,4.0,1.0,0.0,17.0,1.0
1006,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
1007,0.0,2.0,3.0,0.0,19.0,1.0,2.0,17.0,1.0
1008,0.0,2.0,4.0,2.0,17.0,1.0,1.0,15.0,1.0
1009,0.0,2.0,5.0,2.0,17.0,1.0,0.0,13.0,1.0
1045,0.0,2.0,1.0,0.0,4.0,1.0,0.0,17.0,1.0
1046,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
1047,0.0,2.0,3.0,0.0,19.0,1.0,2.0,17.0,1.0
1048,0.0,2.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
1049,0.0,2.0,5.0,2.0,16.0,1.0,0.0,13.0,1.0
1080,0.0,2.0,1.0,0.0,4.0,1.0,0.0,17.0,1.0
1081,0.0,2.0,2.0,0.0,16.0,1.0,0.0,17.0,1.0
1082,0.0,2.0,3.0,0.0,18.0,1.0,2.0,17.0,1.0
1083,0.0,2.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
1084,0.0,2.0,5.0,2.0,16.0,1.0,0.0,13.0,1.0
1120,0.0,2.0,1.0,1.0,3.0,1.0,1.0,17.0,1.0
1121,0.0,2.0,2.0,0.0,16.0,1.0,1.0,17.0,1.0
1122,0.0,2.0,3.0,0.0,18.0,1.0,3.0,17.0,1.0
1123,0.0,2.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
1124,0.0,2.0,5.0,2.0,17.0,1.0,0.0,13.0,1.0
1160,0.0,2.0,1.0,0.0,4.0,1.0,1.0,17.0,1.0
1161,0.0,2.0,2.0,0.0,16.0,1.0,1.0,17.0,1.0
1162,0.0,2.0,3.0,0.0,19.0,1.0,3.0,17.0,1.0
1163,0.0,2.0,4.0,2.0,17.0,1.0,1.0,15.0,1.0
1164,0.0,2.0,5.0,2.0,16.0,1.0,0.0,13.0,1.0
1195,0.0,2.0,1.0,0.0,4.0,1.0,1.0,17.0,1.0
1196,0.0,2.0,2.0,0.0,16.0,1.0,1.0,17.0,1.0
1197,0.0,2.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
1198,0.0,2.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
1199,0.0,2.0,5.0,2.0,17.0,1.0,0.0,13.0,1.0
1235,0.0,2.0,1.0,0.0,4.0,1.0,0.0,17.0,1.0
1236,0.0,2.0,2.0,0.0,22.0,1.0,1.0,17.0,1.0
1237,0.0,2.0,3.0,0.0,35.0,1.0,3.0,17.0,1.0
1238,0.0,2.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
1239,0.0,2.0,5.0,2.0,17.0,1.0,0.0,13.0,1.0
1275,0.0,2.0,1.0,1.0,3.0,1.0,1.0,18.0,1.0
1276,0.0,2.0,2.0,0.0,16.0,1.0,1.0,18.0,1.0
1277,0.0,2.0,3.0,0.0,14.0,1.0,3.0,18.0,1.0
1278,0.0,2.0,4.0,2.0,16.0,1.0,1.0,16.0,1.0
1279,0.0,2.0,5.0,2.0,16.0,1.0,1.0,16.0,1.0
1311,0.0,2.0,1.0,1.0,4.0,1.0,1.0,18.0,1.0
1312,0.0,2.0,2.0,0.0,16.0,1.0,1.0,18.0,1.0
1313,0.0,2.0,3.0,0.0,14.0,1.0,3.0,18.0,1.0
1314,0.0,2.0,4.0,2.0,17.0,1.0,1.0,16.0,1.0
1315,0.0,2.0,5.0,0.0,17.0,1.0,1.0,16.0,1.0
1351,0.0,2.0,1.0,1.0,4.0,1.0,1.0,18.0,1.0
1352,0.0,2.0,2.0,0.0,16.0,1.0,1.0,18.0,1.0
1353,0.0,2.0,3.0,0.0,14.0,1.0,3.0,18.0,1.0
1354,0.0,2.0,4.0,2.0,16.0,1.0,1.0,16.0,1.0
1355,0.0,2.0,5.0,0.0,16.0,1.0,1.0,16.0,1.0
1387,0.0,2.0,1.0,1.0,4.0,1.0,1.0,18.0,1.0
1388,0.0,2.0,2.0,0.0,16.0,1.0,1.0,18.0,1.0
1389,0.0,2.0,3.0,0.0,16.0,1.0,2.0,18.0,1.0
1390,0.0,2.0,4.0,2.0,16.0,1.0,1.0,16.0,1.0
1391,0.0,2.0,5.0,2.0,17.0,1.0,1.0,16.0,1.0
