,date,server,tactic,Latency,Cost,Reliability,Predicted_Latency,Predicted_Cost,Predicted_Reliability
0,0,3,1,0,14,1,1,17,1
1,0,3,2,0,16,1,1,17,1
2,0,3,3,0,13,1,3,17,1
3,0,3,4,2,16,1,2,14,1
4,0,3,5,0,16,1,15,1,1
40,0,3,1,0,14,1,0,17,1
41,0,3,2,0,16,1,1,17,1
42,0,3,3,0,13,1,3,17,1
43,0,3,4,2,17,1,2,14,1
44,0,3,5,0,2,1,14,0,1
76,0,3,1,0,13,1,1,17,1
77,0,3,2,0,16,1,1,17,1
78,0,3,3,0,15,1,2,17,1
79,0,3,4,2,17,1,1,15,1
80,0,3,5,2,16,1,7,1,1
116,0,3,1,0,15,1,1,17,1
117,0,3,2,0,16,1,1,17,1
118,0,3,3,0,22,1,3,17,1
119,0,3,4,2,17,1,2,15,1
120,0,3,5,2,17,1,9,1,1
156,0,3,1,0,15,1,1,17,1
157,0,3,2,0,16,1,1,17,1
158,0,3,3,0,19,1,3,17,1
159,0,3,4,2,17,1,2,15,1
160,0,3,5,2,16,1,9,1,1
191,0,3,1,0,14,1,1,17,1
192,0,3,2,0,16,1,1,17,1
193,0,3,3,0,18,1,2,17,1
194,0,3,4,2,17,1,2,15,1
195,0,3,5,2,16,1,8,1,1
231,0,3,1,0,17,1,1,17,1
232,0,3,2,0,16,1,1,17,1
233,0,3,3,0,13,1,3,17,1
234,0,3,4,2,16,1,1,14,1
235,0,3,5,2,2,1,7,0,1
271,0,3,1,0,15,1,1,17,1
272,0,3,2,0,17,1,1,17,1
273,0,3,3,0,14,1,3,17,1
274,0,3,4,2,16,1,2,14,1
275,0,3,5,2,10,1,9,1,1
311,0,3,1,0,14,1,1,17,1
312,0,3,2,0,16,1,1,17,1
313,0,3,3,0,16,1,3,17,1
314,0,3,4,2,17,1,2,15,1
315,0,3,5,2,3,1,9,0,1
351,0,3,1,0,16,1,1,17,1
352,0,3,2,0,16,1,1,17,1
353,0,3,3,0,24,1,3,18,1
354,0,3,4,2,16,1,2,15,1
355,0,3,5,2,16,1,8,1,1
391,0,3,1,0,14,1,1,17,1
392,0,3,2,0,17,1,1,17,1
393,0,3,3,0,14,1,2,17,1
394,0,3,4,2,17,1,2,15,1
395,0,3,5,2,16,1,8,1,1
431,0,3,1,0,15,1,1,17,1
432,0,3,2,0,16,1,1,17,1
433,0,3,3,0,18,1,2,17,1
434,0,3,4,2,16,1,1,14,1
435,0,3,5,2,17,1,7,0,1
467,0,3,1,0,16,1,1,17,1
468,0,3,2,0,16,1,1,17,1
469,0,3,3,0,14,1,3,17,1
470,0,3,4,2,16,1,2,15,1
471,0,3,5,0,17,1,17,1,1
507,0,3,1,0,15,1,1,17,1
508,0,3,2,0,17,1,1,17,1
509,0,3,3,0,18,1,3,17,1
510,0,3,4,2,16,1,2,15,1
511,0,3,5,0,17,1,16,1,1
547,0,3,1,0,15,1,1,17,1
548,0,3,2,0,16,1,1,17,1
549,0,3,3,0,14,1,3,17,1
550,0,3,4,2,17,1,2,15,1
551,0,3,5,0,2,1,14,0,1
587,0,3,1,0,15,1,1,17,1
588,0,3,2,0,16,1,1,17,1
589,0,3,3,0,16,1,3,17,1
590,0,3,4,2,16,1,2,15,1
591,0,3,5,0,2,1,17,0,1
627,0,3,1,0,17,1,1,17,1
628,0,3,2,0,16,1,1,17,1
629,0,3,3,0,18,1,3,17,1
630,0,3,4,2,16,1,2,15,1
631,0,3,5,0,16,1,16,1,1
667,0,3,1,0,12,1,1,17,1
668,0,3,2,0,16,1,1,17,1
669,0,3,3,0,14,1,3,17,1
670,0,3,4,2,17,1,2,15,1
671,0,3,5,0,16,1,17,1,1
703,0,3,1,0,14,1,1,17,1
704,0,3,2,0,16,1,1,17,1
705,0,3,3,0,14,1,3,17,1
706,0,3,4,2,17,1,2,15,1
707,0,3,5,2,16,1,8,1,1
743,0,3,1,0,13,1,1,17,1
744,0,3,2,0,16,1,1,17,1
745,0,3,3,0,22,1,2,17,1
746,0,3,4,2,16,1,2,15,1
747,0,3,5,2,16,1,8,1,1
779,0,3,1,0,12,1,1,17,1
780,0,3,2,0,17,1,1,17,1
