,date,server,tactic,Latency,Cost,Reliability,Predicted_Latency,Predicted_Cost,Predicted_Reliability
15,0.0,6.0,1.0,2.0,3.0,1.0,1.0,17.0,1.0
16,0.0,6.0,2.0,0.0,16.0,1.0,1.0,18.0,1.0
17,0.0,6.0,3.0,0.0,16.0,1.0,2.0,17.0,1.0
18,0.0,6.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
19,0.0,6.0,5.0,0.0,17.0,1.0,1.0,6.0,1.0
51,0.0,6.0,1.0,1.0,3.0,1.0,1.0,17.0,1.0
52,0.0,6.0,2.0,0.0,16.0,1.0,1.0,18.0,1.0
53,0.0,6.0,3.0,0.0,13.0,1.0,2.0,17.0,1.0
54,0.0,6.0,4.0,2.0,17.0,1.0,1.0,15.0,1.0
55,0.0,6.0,5.0,2.0,17.0,1.0,1.0,7.0,1.0
91,0.0,6.0,1.0,1.0,3.0,1.0,1.0,17.0,1.0
92,0.0,6.0,2.0,0.0,16.0,1.0,1.0,17.0,1.0
93,0.0,6.0,3.0,0.0,14.0,1.0,2.0,17.0,1.0
94,0.0,6.0,4.0,2.0,17.0,1.0,1.0,15.0,1.0
95,0.0,6.0,5.0,2.0,2.0,1.0,1.0,7.0,1.0
131,0.0,6.0,1.0,1.0,3.0,1.0,1.0,17.0,1.0
132,0.0,6.0,2.0,0.0,16.0,1.0,1.0,18.0,1.0
133,0.0,6.0,3.0,0.0,18.0,1.0,2.0,17.0,1.0
134,0.0,6.0,4.0,2.0,16.0,1.0,1.0,15.0,1.0
135,0.0,6.0,5.0,2.0,16.0,1.0,1.0,7.0,1.0
166,0.0,6.0,1.0,1.0,3.0,1.0,1.0,17.0,1.0
167,0.0,6.0,2.0,0.0,16.0,1.0,1.0,18.0,1.0
168,0.0,6.0,3.0,0.0,19.0,1.0,2.0,17.0,1.0
169,0.0,6.0,4.0,2.0,17.0,1.0,1.0,15.0,1.0
170,0.0,6.0,5.0,2.0,17.0,1.0,1.0,7.0,1.0
206,0.0,6.0,1.0,1.0,3.0,1.0,1.0,17.0,1.0
207,0.0,6.0,2.0,0.0,16.0,1.0,1.0,18.0,1.0
