simRun, predUpDown, predUpDownLateny, predUpDownCost, predTightLoose, predTightLooseLatency, predTightLooseCosts, realUpDown, realUpDownLateny, realUpDownCost, realTightLoose, realTightLooseLatency, realTightLooseCosts, targetsDetected, destroyed, whereDestroyed.x, missionSuccess, decisionTimeAvg, decisionTimeVar
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0.133623,0.333984
1,2,3.000000,21.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,1,4.000000,19.000000,0,0,0,1,1.000000,4.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,2,3.000000,20.000000,0,0,0,2,0.000000,17.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,1,4.000000,20.000000,0,0,0,1,1.000000,1.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,0,0,0,0,0,0,2,0.000000,16.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,2,4.000000,22.000000,0,0,0,2,0.000000,18.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0.133623,0.333984
1,1,4.000000,20.000000,0,0,0,1,1.000000,3.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,2,4.000000,21.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,0,0,0,0,0,0,2,0.000000,16.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0.133623,0.333984
1,1,4.000000,20.000000,0,0,0,1,1.000000,3.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,0,0,0,0,0,0,2,0.000000,16.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,2,5.000000,22.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,0,0,0,0,0,0,2,0.000000,16.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,1,5.000000,20.000000,0,0,0,1,1.000000,3.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0.133623,0.333984
1,2,5.000000,22.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,2,5.000000,19.000000,0,0,0,1,1.000000,3.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,2,4.000000,20.000000,0,0,0,1,1.000000,4.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0.133623,0.333984
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0.133623,0.333984
1,1,5.000000,18.000000,0,0,0,1,1.000000,3.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,1,5.000000,19.000000,0,0,0,1,1.000000,4.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,2,4.000000,20.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,2,4.000000,21.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,1,5.000000,20.000000,0,0,0,1,1.000000,1.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,2,5.000000,20.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0.133623,0.333984
1,1,5.000000,20.000000,0,0,0,1,1.000000,3.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,1,5.000000,20.000000,0,0,0,1,1.000000,3.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,2,5.000000,20.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,1,4.000000,21.000000,0,0,0,1,1.000000,4.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,2,4.000000,21.000000,0,0,0,1,1.000000,4.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,2,4.000000,21.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,0,0,0,0,0,0,1,1.000000,3.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,0,0,0,0,0,0,1,1.000000,1.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,0,0,0,0,0,0,1,1.000000,3.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,0,0,0,0,0,0,1,1.000000,1.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,0,0,0,0,0,0,1,1.000000,3.000000,0,0,0,0,1,42,0,0.133623,0.333984
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0.133623,0.333984
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0.133623,0.333984
2,2,4.000000,21.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,5,0,0.0244998,0.000618103
2,2,3.000000,21.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,5,0,0.0244998,0.000618103
2,0,0,0,0,0,0,1,1.000000,4.000000,0,0,0,0,1,5,0,0.0244998,0.000618103
2,2,3.000000,20.000000,0,0,0,1,1.000000,3.000000,0,0,0,0,1,5,0,0.0244998,0.000618103
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0.0244998,0.000618103
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0.0244998,0.000618103
3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,0,0.0302121,0.000940861
3,2,3.000000,21.000000,0,0,0,2,0.000000,16.000000,0,0,0,1,1,21,0,0.0302121,0.000940861
3,1,4.000000,19.000000,0,0,0,1,1.000000,4.000000,0,0,0,1,1,21,0,0.0302121,0.000940861
3,0,0,0,0,0,0,2,0.000000,17.000000,0,0,0,1,1,21,0,0.0302121,0.000940861
3,2,3.000000,21.000000,0,0,0,2,0.000000,16.000000,0,0,0,1,1,21,0,0.0302121,0.000940861
3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,0,0.0302121,0.000940861
3,0,0,0,0,0,0,2,0.000000,18.000000,0,0,0,1,1,21,0,0.0302121,0.000940861
3,0,0,0,0,0,0,2,0.000000,16.000000,0,0,0,1,1,21,0,0.0302121,0.000940861
3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,0,0.0302121,0.000940861
3,0,0,0,0,0,0,2,0.000000,16.000000,0,0,0,1,1,21,0,0.0302121,0.000940861
3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,0,0.0302121,0.000940861
3,2,4.000000,19.000000,0,0,0,1,1.000000,4.000000,0,0,0,1,1,21,0,0.0302121,0.000940861
3,1,4.000000,20.000000,0,0,0,1,1.000000,3.000000,0,0,0,1,1,21,0,0.0302121,0.000940861
3,2,4.000000,21.000000,0,0,0,1,1.000000,3.000000,0,0,0,1,1,21,0,0.0302121,0.000940861
3,2,5.000000,22.000000,0,0,0,1,1.000000,3.000000,0,0,0,1,1,21,0,0.0302121,0.000940861
3,0,0,0,0,0,0,1,1.000000,3.000000,0,0,0,1,1,21,0,0.0302121,0.000940861
3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,0,0.0302121,0.000940861
3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,0,0.0302121,0.000940861
3,0,0,0,0,0,0,1,1.000000,4.000000,0,0,0,1,1,21,0,0.0302121,0.000940861
3,0,0,0,0,0,0,1,1.000000,3.000000,0,0,0,1,1,21,0,0.0302121,0.000940861
3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,0,0.0302121,0.000940861
3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,0,0.0302121,0.000940861
4,2,4.000000,21.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,14,0,0.423533,1.73707
4,1,4.000000,21.000000,0,0,0,1,1.000000,4.000000,0,0,0,0,1,14,0,0.423533,1.73707
4,2,4.000000,19.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,14,0,0.423533,1.73707
4,1,5.000000,20.000000,0,0,0,1,1.000000,3.000000,0,0,0,0,1,14,0,0.423533,1.73707
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0.423533,1.73707
4,0,0,0,0,0,0,2,0.000000,16.000000,0,0,0,0,1,14,0,0.423533,1.73707
4,0,0,0,0,0,0,2,0.000000,18.000000,0,0,0,0,1,14,0,0.423533,1.73707
4,0,0,0,0,0,0,2,0.000000,16.000000,0,0,0,0,1,14,0,0.423533,1.73707
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0.423533,1.73707
4,0,0,0,0,0,0,2,0.000000,16.000000,0,0,0,0,1,14,0,0.423533,1.73707
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0.423533,1.73707
4,0,0,0,0,0,0,2,0.000000,16.000000,0,0,0,0,1,14,0,0.423533,1.73707
4,0,0,0,0,0,0,2,0.000000,16.000000,0,0,0,0,1,14,0,0.423533,1.73707
4,2,4.000000,21.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,14,0,0.423533,1.73707
4,2,5.000000,22.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,14,0,0.423533,1.73707
5,2,4.000000,21.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,13,0,0.0228635,0.000549087
5,1,4.000000,21.000000,0,0,0,1,1.000000,4.000000,0,0,0,0,1,13,0,0.0228635,0.000549087
5,2,4.000000,19.000000,0,0,0,2,0.000000,16.000000,0,0,0,0,1,13,0,0.0228635,0.000549087
5,2,3.000000,20.000000,0,0,0,2,0.000000,17.000000,0,0,0,0,1,13,0,0.0228635,0.000549087
5,2,3.000000,21.000000,0,0,0,1,1.000000,1.000000,0,0,0,0,1,13,0,0.0228635,0.000549087
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0.0228635,0.000549087
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0.0228635,0.000549087
5,1,4.000000,19.000000,0,0,0,1,1.000000,4.000000,0,0,0,0,1,13,0,0.0228635,0.000549087
5,2,4.000000,20.000000,0,0,0,1,1.000000,3.000000,0,0,0,0,1,13,0,0.0228635,0.000549087
5,0,0,0,0,0,0,1,1.000000,4.000000,0,0,0,0,1,13,0,0.0228635,0.000549087
