,predictionType,utilDif,reward,negativeReward,numOfUpdates,lostUtil,wrongDecisions,correctDecisions,decisionShouldHaveDid,decisionShouldHaveDidNot,decisionNotHaveDid,decisionNotHaveDidNot
0,svr_rbf_predictions_server_1_tactic_1_sampleRate_20.csv,669433.3730042987,1522484.3847970304,0.0,128,0.0,0,128,128,0,0,0
1,svr_rbf_predictions_server_1_tactic_1_sampleRate_5.csv,760313.3168185514,1223999.8882810096,17420.97371117548,466,62420.97371117547,45,473,466,45,0,7
2,svr_rbf_predictions_server_1_tactic_1_sampleRate_0.csv,11917623.339995109,21011514.668260437,522588.63661253924,655,1479588.6366125394,957,1645,655,957,0,990
3,svr_rbf_predictions_server_1_tactic_1_sampleRate_0_no_ping.csv,11968397.791308511,21011055.68087008,531358.2796286255,655,1498358.2796286254,967,1635,655,967,0,980
4,svr_rbf_predictions_server_1_tactic_1_sampleRate_10.csv,687063.6910229509,1418947.9942072288,0.0,258,0.0,0,258,258,0,0,0
5,svr_rbf_predictions_server_3_tactic_1_sampleRate_5.csv,1170061.8484627083,1459676.7950770066,57281.57268281393,440,127281.57268281397,70,448,440,70,0,8
6,svr_rbf_predictions_server_3_tactic_1_sampleRate_0.csv,11082503.08847388,16998797.6917992,697545.1938673559,642,1749545.1938673554,1052,1550,642,1052,0,908
7,svr_rbf_predictions_server_3_tactic_1_sampleRate_0_no_ping.csv,11462447.225707237,17027633.597840514,774077.5276931567,624,1878077.5276931555,1104,1498,624,1104,0,874
8,svr_rbf_predictions_server_3_tactic_1_sampleRate_10.csv,931647.0043802231,1618111.1213579786,0.0,258,0.0,0,258,258,0,0,0
9,svr_rbf_predictions_server_3_tactic_1_sampleRate_20.csv,903181.1541902132,1736691.977795342,0.0,128,0.0,0,128,128,0,0,0
10,svr_rbf_predictions_server_2_tactic_1_sampleRate_0_no_ping.csv,18232753.52509875,24846008.94884536,1110503.4994087967,668,2327503.4994087974,1217,1385,668,1217,0,717
