,Unnamed: 0_server_1_tactic_1,time_since_last_recording_server_1_tactic_1,latency_server_1_tactic_1,cost_server_1_tactic_1,reliability_server_1_tactic_1,time_since_last_ping_server_1_tactic_1,ping_time_server_1_tactic_1,day1_server_1_tactic_1,day2_server_1_tactic_1,day3_server_1_tactic_1,day4_server_1_tactic_1,day5_server_1_tactic_1,day6_server_1_tactic_1,day7_server_1_tactic_1,predicted_Latency 9,predicted_Cost 9,predicted_Reliability 9
0,0,0.0052184384826386,0.0163601247502555,0.1679687499999999,1,0.0024466494495038,0.0952199003926322,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.020195112,0.21772209,0.0
1,20,0.0143172542985214,0.0149850961709685,0.18359375,1,0.003398124235422,0.0970556975590046,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015640344,0.18229362,0.0
2,40,0.000468321402288,0.0151234163822808,0.185546875,1,0.0043495990213402,0.0948378086379087,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01465338,0.17718397,0.0
3,60,0.006088178229745,0.0150017161796622,0.185546875,1,0.0065923610167187,0.4914139151668467,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.014551524,0.17599988,0.0
4,80,0.013915835953703,0.0166046946027947,0.1777343749999999,1,0.0006796248470844,0.4918838441065641,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.014712382,0.17574106,0.0
5,100,0.0017394794942128,0.0150139124442531,0.173828125,1,0.0036699741742558,0.4918355336548175,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.014867715,0.17567712,0.0
6,120,0.0020070917240917,0.0148705617199507,0.1796874999999999,1,0.0044855239907571,0.4924855288237723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015004527,0.17567426,0.0
7,140,0.0013380611493945,0.0154918321737808,0.166015625,1,6.796248470844094e-05,0.4917740476253217,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015124075,0.17569798,0.0
8,160,0.0060212751722753,0.0163525516866681,0.1875,1,0.0,0.4921122207875482,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015225368,0.17572354,0.0
9,180,0.0038803773332441,0.0162217079598124,0.18359375,1,0.0053690362919668,0.4921078289282985,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015314344,0.17575629,0.0
10,200,0.0006690305746972,0.0161788709161821,0.185546875,1,6.796248470844094e-05,0.4916466837070805,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015390481,0.17578791,0.0
11,220,0.005619856827457,0.0149929547728559,0.162109375,1,0.0020388745412532,0.4915764139590855,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015458327,0.17582223,0.0
12,240,0.0069579179768515,0.016251746169057,0.1777343749999999,1,0.0054369987766752,0.0950661853188929,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015540377,0.17586726,0.0
13,260,0.0036796681608349,0.0269126272306963,0.146484375,1,0.0017670246024194,0.0944293657276871,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015586101,0.17589274,0.0
14,280,0.0055529537699872,0.0159983771178777,0.1601562499999999,1,0.0019029495718363,0.0945084191941816,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015624177,0.1759136,0.0
15,300,0.0006690305746972,0.0154661967131757,0.1796874999999999,1,0.0128449096098953,0.4918311417955678,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015638802,0.17591798,0.0
16,320,0.0024754131263798,0.0149807543091723,0.1679687499999999,1,0.0010194372706266,0.4919321545583107,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015669152,0.17593698,0.0
17,340,0.0007359336321669,0.014913113225281,0.193359375,1,0.001699062117711,0.4923362056092826,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015693588,0.17595153,0.0
18,360,0.0046832140228808,0.0152787639142734,0.185546875,1,0.0053690362919668,0.4927270810825055,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015715271,0.1759659,0.0
19,380,0.0062888874021542,0.0163443382614521,0.173828125,1,0.001087399755335,0.4950723339218425,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015733432,0.17597823,0.0
20,400,0.0169264735398407,0.0165416578239899,0.19140625,1,0.0035340492048389,0.0954878038068636,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01575595,0.17599443,0.0
21,420,0.003412055930956,0.0149950354232621,0.1875,1,0.0021747995106701,0.0947455795936651,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015767468,0.17600231,0.0
22,440,0.0032782498160165,0.0150483135107571,0.173828125,1,0.0145439717276063,0.094934429541402,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015777415,0.17600943,0.0
23,460,0.0011373519769853,0.016511260592324,0.1679687499999999,1,0.0025825744189207,0.0942844343724472,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015785659,0.17601535,0.0
24,480,0.0001338061149394,0.0150751184186642,0.18359375,1,0.0020388745412532,0.1211889641360773,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015792158,0.17601994,0.0
25,500,0.0035458620458954,0.015637767439607,0.181640625,1,0.0014951746635857,0.0946709179864203,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01579821,0.17602445,0.0
26,520,0.0040141834481835,0.0177806253038082,0.166015625,1,0.0022427619953785,0.0951715899408856,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015803125,0.1760282,0.0
27,540,0.0068910149193818,0.0162103326178338,0.17578125,1,0.0256898192197906,0.4918574929510659,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015805008,0.17602932,0.0
28,560,0.0064226935170937,0.0166756592685155,0.1679687499999999,1,0.0046894114448824,0.094574297082927,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01581059,0.1760339,0.0
29,580,0.0013380611493945,0.0151439520448671,0.1699218749999999,1,0.0019709120565447,0.4920463428988029,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015811892,0.17603472,0.0
30,600,0.0074931424366093,0.0161115363660539,0.173828125,1,0.0044855239907571,0.4930301193707344,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015814519,0.17603682,0.0
31,620,0.005619856827457,0.015720741510296,0.1679687499999999,1,0.0016310996330025,0.4924899206830221,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01581671,0.1760386,0.0
32,640,0.016123636850204,0.0166226415247646,0.166015625,1,0.0021068370259616,0.4917740476253217,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015818583,0.17604013,0.0
33,660,0.0123101625744296,0.0161051537452317,0.1679687499999999,1,0.004009786597798,0.0945699052236774,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015820855,0.17604207,0.0
34,680,0.0031444437010771,0.0150030724865869,0.171875,1,0.0002038874541253,0.4923669486240305,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015821379,0.17604241,0.0
35,700,0.0042817956780624,0.0162037442414719,0.1699218749999999,1,0.0004077749082506,0.0942317320614509,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015822984,0.17604381,0.0
36,720,0.0,0.0155032935971586,0.181640625,1,0.0014272121788772,0.0950222667263959,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015823778,0.17604448,0.0
37,740,0.0056867598849267,0.0153518470222343,0.19140625,1,0.0076797607720538,0.0949256458229026,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015824413,0.176045,0.0
38,760,0.0034789589884257,0.0886409078801102,0.1171875,1,0.0057768112002174,0.4931838344444738,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015824718,0.17604524,0.0
39,780,0.0038134742757744,0.0150174438811685,0.166015625,1,0.0001359249694168,0.4919409382768101,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015825272,0.17604573,0.0
40,800,0.00488392319529,0.0150140489147641,0.1582031249999999,1,0.001699062117711,0.4920112080248053,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01582572,0.17604613,0.0
41,820,0.0021408978390312,0.0156638627008568,0.208984375,1,0.0085632730732635,0.4924679613867735,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015826063,0.17604642,0.0
42,840,0.0064226935170937,0.0149131447184758,0.1679687499999999,1,0.0012912872094603,0.4922439765650391,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015826397,0.17604673,0.0
43,860,0.0002676122298789,0.0152224750773511,0.1953125,1,0.0084953105885551,0.492344989327782,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015826639,0.17604694,0.0
44,880,0.0068910149193818,0.0148706205072477,0.216796875,1,0.0012233247247519,0.4925777578680158,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015826853,0.17604713,0.0
45,900,0.0002676122298789,0.0149933578857499,0.1777343749999999,1,0.0020388745412532,0.4923142463130342,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01582705,0.17604731,0.0
46,920,0.0002007091724091,0.0163104473847046,0.173828125,1,0.0010194372706266,0.4937064656951874,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0158272,0.17604746,0.0
47,940,0.0020070917240917,0.0149867254189152,0.171875,1,0.0006116623623759,0.4921824905355433,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015827328,0.17604756,0.0
48,960,0.0012711580919248,0.0148660917858288,0.162109375,1,0.0010194372706266,0.0951496306446371,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015827488,0.17604771,0.0
49,980,0.0119087442296112,0.0154450500826094,0.181640625,1,0.0055049612613837,0.0946313912531731,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015827566,0.17604779,0.0
