,Unnamed: 0,Hours,Minutes,Seconds,Latency,Cost,Reliability,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Server_1.0,Server_2.0,Server_3.0,Server_4.0,Server_5.0,Server_6.0,Server_7.0,Server_8.0,Tactic_1.0,Tactic_2.0,Tactic_3.0,Tactic_4.0,Tactic_5.0
45953,45953,0.6956521739130435,0.4406779661016949,0.08052191134695405,0.005320609573546448,0.2741312741312741,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
45954,45954,0.6956521739130435,0.4406779661016949,0.10989796050736778,0.0016342146491157845,0.3217503217503217,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
45955,45955,0.6956521739130435,0.4406779661016949,0.11032118493356437,2.3353550540824068e-05,0.2561132561132561,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
45956,45956,0.6956521739130435,0.4406779661016949,0.7249284479422019,0.0345350635961793,0.32303732303732297,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
45957,45957,0.6956521739130435,0.4406779661016949,0.7291263667832499,0.000235183917650856,0.32432432432432434,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
45958,45958,0.6956521739130435,0.4576271186440678,0.4443359791565893,0.04028457125094087,0.037323037323037316,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
45959,45959,0.6956521739130435,0.4576271186440678,0.479083422442805,0.001932023693749231,0.3307593307593308,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
45960,45960,0.6956521739130435,0.4576271186440678,0.4796813125079313,3.285864892260317e-05,0.34234234234234234,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
45961,45961,0.6956521739130435,0.4745762711864407,0.09607860614883486,0.03473168696890717,0.32947232947232946,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
45962,45962,0.6956521739130435,0.4745762711864407,0.10033150242717956,0.00023821681724546078,0.3268983268983269,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
45963,45963,0.6956521739130435,0.4745762711864407,0.6443105222490918,0.030566635423935257,0.047619047619047616,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
45964,45964,0.6956521739130435,0.4745762711864407,0.6759984452721316,0.0017617567999940586,0.32303732303732297,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
45965,45965,0.6956521739130435,0.4745762711864407,0.6763753737877229,2.0787887469684647e-05,0.3204633204633205,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
45966,45966,0.6956521739130435,0.4915254237288136,0.2796175500334331,0.03399270756285661,0.32303732303732297,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
45967,45967,0.6956521739130435,0.4915254237288136,0.2838335164328529,0.0002365158436899017,0.3204633204633205,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
45968,45968,0.6956521739130435,0.4915254237288136,0.8790070817717507,0.03344329969128892,0.055341055341055344,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
45969,45969,0.6956521739130435,0.4915254237288136,0.9127299546512108,0.001872543298944452,0.3217503217503217,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
45970,45970,0.6956521739130435,0.4915254237288136,0.9132032981988052,2.608248918014269e-05,0.3204633204633205,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
45971,45971,0.6956521739130435,0.5084745762711864,0.5294428050920961,0.0347228537606194,0.32303732303732297,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
45972,45972,0.6956521739130435,0.5084745762711864,0.5446239570836074,0.0002407496015381207,0.3333333333333333,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
45973,45973,0.6956521739130435,0.5084745762711864,0.7776049133701337,0.013702681734536124,0.11454311454311453,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
45974,45974,0.6956521739130435,0.5084745762711864,0.8074585633652697,0.0016604624268568367,0.3204633204633205,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
45975,45975,0.6956521739130435,0.5084745762711864,0.8078473288085996,2.145955395058329e-05,0.3848133848133848,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
45976,45976,0.6956521739130435,0.5254237288135594,0.4459804439595849,0.035264719072541924,0.3268983268983269,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
45977,45977,0.6956521739130435,0.5254237288135594,0.4388010551193636,0.0002835767830570399,0.2882882882882883,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
45978,45978,0.6956521739130435,0.5423728813559322,0.1139057205233912,0.038031040787379,0.0772200772200772,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
45979,45979,0.6956521739130435,0.5423728813559322,0.1477001158265918,0.0018796184990056734,0.3191763191763192,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
45980,45980,0.6956521739130435,0.5423728813559322,0.14818391059670322,2.664254674536163e-05,0.35006435006435005,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
45981,45981,0.6956521739130435,0.5423728813559322,0.7888564390858427,0.03599941148844122,0.3217503217503217,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
45982,45982,0.6956521739130435,0.5423728813559322,0.7930703853607823,0.0002357757356696793,0.32432432432432434,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
45983,45983,0.6956521739130435,0.559322033898305,0.363325164294971,0.032139438102014785,0.036036036036036036,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
45984,45984,0.6956521739130435,0.559322033898305,0.3934367057185668,0.0016747134763015405,0.3217503217503217,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
45985,45985,0.6956521739130435,0.559322033898305,0.3938911669456081,2.506302337262054e-05,0.2561132561132561,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
45986,45986,0.6956521739130435,0.576271186440678,0.014086912333058622,0.03494533618110319,0.32947232947232946,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
45987,45987,0.6956521739130435,0.576271186440678,0.01854462586034138,0.0002495810204517117,0.3268983268983269,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
45988,45988,0.6956521739130435,0.576271186440678,0.36729288911675295,0.019596456166966186,0.07593307593307592,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
45989,45989,0.6956521739130435,0.576271186440678,0.3973647793367111,0.0016701073159572106,0.3204633204633205,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
45990,45990,0.6956521739130435,0.576271186440678,0.39775137439836816,2.133363046451209e-05,0.3848133848133848,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
45991,45991,0.6956521739130435,0.5932203389830508,0.029457655511311118,0.034860155093548346,0.32432432432432434,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
45992,45992,0.6956521739130435,0.5932203389830508,0.020574266629284903,0.00023241360095728955,0.3101673101673101,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
45993,45993,0.6956521739130435,0.5932203389830508,0.12794025987716073,0.0060329848265304725,0.26898326898326896,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
45994,45994,0.6956521739130435,0.5932203389830508,0.16098595697946244,0.0018400353569991137,0.3217503217503217,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
45995,45995,0.6956521739130435,0.5932203389830508,0.1613571924169736,2.0476321899262022e-05,0.2561132561132561,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
45996,45996,0.6956521739130435,0.5932203389830508,0.7683828781661758,0.034109054154047844,0.3307593307593308,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
45997,45997,0.6956521739130435,0.5932203389830508,0.8193486487596043,0.0028633645329018452,0.03088803088803089,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
45998,45998,0.6956521739130435,0.7627118644067796,0.5529042970702235,0.5479000790826448,0.0064350064350064354,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
45999,45999,0.6956521739130435,0.7796610169491526,0.01845149979133449,0.013429211495837545,0.06949806949806947,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
46000,46000,0.6956521739130435,0.7796610169491526,0.060424995123736724,0.0016712837947120535,0.3217503217503217,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
46001,46001,0.6956521739130435,0.7796610169491526,0.053509658256877334,2.174562169257521e-05,0.28442728442728443,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
46002,46002,0.6956521739130435,0.7796610169491526,0.7030643568752575,0.036758435542684514,0.32432432432432434,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
46003,46003,0.6956521739130435,0.7796610169491526,0.7072087674604493,0.038701846080975606,0.3204633204633205,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
46004,46004,0.6956521739130435,0.7966101694915254,0.29068895076554285,0.01692254394256022,0.055341055341055344,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
46005,46005,0.6956521739130435,0.7966101694915254,0.32572942896807416,0.001947979071733782,0.32303732303732297,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
46006,46006,0.6956521739130435,0.7966101694915254,0.3261421854765104,2.261813948875484e-05,0.2561132561132561,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
46007,46007,0.6956521739130435,0.7966101694915254,0.9569313634659888,0.03544419716871895,0.32947232947232946,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
46008,46008,0.6956521739130435,0.7966101694915254,0.961320526322898,0.037683348303675236,0.32947232947232946,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
