time_since_last_recording,latency,cost,reliability,time_since_last_ping,last_ping
0,1.7166788578033447,15.9,1,0.0,0.0
-246.0,1.7148869037628174,9.9,1,0.0,0.0
896.0,1.7398512363433838,8.7,1,0.0,0.0
-382.0,1.6809680461883545,9.8,1,0.0,0.0
347.0,1.8879413604736328,10.6,1,0.0,0.0
-555.0,1.7371387481689453,8.7,1,0.0,0.0
647.0,1.7045085430145264,9.3,1,231.0,1.0
-51.0,1.7295451164245605,8.4,1,180.0,1.0
175.0,1.8199436664581299,9.6,1,368.0,1.0
233.0,1.8738634586334229,8.7,1,50.0,1.0
-142.0,1.6824734210968018,9.5,1,0.0,1.0
-412.0,1.6825826168060303,8.6,1,0.0,1.0
494.0,1.7167890071868896,8.5,1,0.0,1.0
-329.0,1.6899454593658447,9.4,1,0.0,1.0
32.0,1.8960351943969727,8.7,1,0.0,1.0
41.0,1.6796092987060547,8.4,1,0.0,1.0
175.0,1.6948492527008057,8.2,1,0.0,1.0
753.0,1.842733383178711,8.9,1,190.0,1.0
65.0,1.7359611988067627,8.7,1,256.0,1.0
-174.0,1.8760721683502197,8.6,1,81.0,1.0
-421.0,1.697415828704834,9.1,1,0.0,1.0
392.0,2.8549230098724365,7.3,1,53.0,1.0
-453.0,1.7046542167663574,9.1,1,0.0,1.0
933.0,1.8122680187225342,9.2,1,168.0,1.0
-762.0,1.7428967952728271,9.8,1,0.0,1.0
150.0,1.8490731716156006,8.8,1,0.0,1.0
835.0,1.8968806266784668,8.5,1,802.0,1.0
-299.0,1.904665231704712,8.9,1,502.0,1.0
160.0,1.7320053577423096,9.2,1,662.0,1.0
-225.0,1.9179954528808594,8.8,1,437.0,1.0
434.0,1.8791530132293701,9.2,1,871.0,1.0
140.0,1.8732705116271973,8.4,1,397.0,1.0
-69.0,1.749281644821167,9.0,1,327.0,1.0
-209.0,1.7211837768554688,8.9,1,118.0,1.0
-276.0,1.7148470878601074,9.6,1,0.0,1.0
727.0,1.8804700374603271,8.6,1,569.0,1.0
-459.0,1.8377680778503418,9.2,1,109.0,1.0
732.0,1.6938767433166504,10.4,1,744.0,1.0
-409.0,1.7531306743621826,8.6,1,334.0,1.0
-244.0,3.8653957843780518,7.1,1,89.0,1.0
829.0,1.6798911094665527,9.5,1,918.0,1.0
-68.0,1.6942355632781982,8.0,1,850.0,1.0
19.0,1.8501434326171875,9.0,1,869.0,1.0
364.0,1.8210172653198242,8.6,1,657.0,1.0
-631.0,1.6832735538482666,9.0,1,25.0,1.0
385.0,1.7052292823791504,8.5,1,410.0,1.0
521.0,1.8175461292266846,8.5,1,932.0,1.0
-630.0,1.787337064743042,9.7,1,301.0,1.0
20.0,1.8758518695831299,8.6,1,322.0,1.0
298.0,1.8537495136260986,8.6,1,620.0,1.0
135.0,1.7272303104400635,8.3,1,755.0,1.0
-421.0,1.6927416324615479,8.5,1,334.0,1.0
317.0,1.7220098972320557,8.8,1,651.0,1.0
112.0,1.6915197372436523,9.0,1,763.0,1.0
158.0,1.7916908264160156,8.4,1,922.0,1.0
212.0,1.863173484802246,8.5,1,2.0,1.0
-463.0,1.68760085105896,8.7,1,0.0,1.0
874.0,1.7120907306671143,8.5,1,119.0,1.0
-599.0,1.8250133991241455,8.7,1,0.0,1.0
703.0,1.74517822265625,9.1,1,223.0,1.0
-742.0,1.6800885200500488,9.0,1,0.0,1.0
632.0,1.843498945236206,8.8,1,113.0,1.0
-564.0,1.8644838333129883,8.8,1,0.0,1.0
733.0,1.8430447578430176,9.2,1,35.0,1.0
-631.0,1.6882679462432861,8.5,1,0.0,1.0
204.0,1.6908354759216309,8.9,1,0.0,1.0
239.0,2.4246137142181396,7.5,1,0.0,1.0
150.0,1.8014817237854004,8.6,1,0.0,1.0
-186.0,1.8784961700439453,8.5,1,0.0,1.0
223.0,1.8105835914611816,8.7,1,35.0,1.0
197.0,1.8061013221740723,8.2,1,233.0,1.0
