time_since_last_recording,latency,cost,reliability
0,0.17643117904663086,28.8,1
728.0,0.17395615577697754,25.0,1
-84.0,0.18164873123168945,25.3,1
-434.0,0.17255306243896484,25.0,1
422.0,0.17913269996643066,25.3,1
394.0,0.17348027229309082,26.0,1
-375.0,0.17712688446044922,26.7,1
19.0,0.17541050910949707,24.7,1
210.0,0.17585253715515137,24.7,1
205.0,0.17835164070129395,25.3,1
305.0,0.21923255920410156,29.0,1
52.0,0.17342877388000488,25.0,1
-421.0,0.17364501953125,26.0,1
676.0,0.17856335639953613,24.7,1
-862.0,0.17551517486572266,25.7,1
847.0,0.1732325553894043,25.0,1
176.0,0.17710280418395996,24.7,1
-162.0,0.1750497817993164,25.7,1
-2.0,0.18323421478271484,28.9,1
-100.0,0.17853784561157227,25.3,1
530.0,0.1750316619873047,25.7,1
-647.0,0.17783713340759277,24.7,1
475.0,0.17908883094787598,25.3,1
6.0,0.1773390769958496,25.7,1
392.0,0.1732950210571289,25.0,1
152.0,0.1776118278503418,24.3,1
-180.0,0.1788618564605713,24.3,1
-370.0,0.17848706245422363,24.7,1
98.0,0.1733698844909668,25.0,1
-104.0,0.17815876007080078,25.3,1
394.0,0.1840054988861084,25.6,1
208.0,0.17570209503173828,26.7,1
-122.0,0.1739945411682129,25.0,1
-332.0,0.17409253120422363,24.7,1
727.0,0.1780989170074463,25.7,1
-134.0,0.17702341079711914,25.7,1
496.0,0.18055391311645508,26.3,1
-287.0,0.17765235900878906,24.7,1
-458.0,0.17415142059326172,26.0,1
875.0,0.17853116989135742,25.3,1
-210.0,0.18047213554382324,25.3,1
-171.0,0.1815319061279297,25.3,1
150.0,0.17855143547058105,25.3,1
307.0,0.1792435646057129,25.3,1
384.0,0.1777327060699463,25.7,1
-600.0,0.17643284797668457,24.7,1
593.0,0.18113112449645996,24.7,1
-711.0,0.17447996139526367,24.7,1
999.0,0.17586898803710938,24.7,1
-706.0,0.18694543838500977,24.7,1
62.0,0.17314457893371582,25.0,1
656.0,0.17982912063598633,26.3,1
-740.0,0.17287492752075195,25.0,1
89.0,0.18268513679504395,25.0,1
156.0,0.1760270595550537,24.7,1
271.0,0.1862640380859375,25.6,1
572.0,0.17444682121276855,26.0,1
-232.0,0.17484211921691895,26.0,1
-495.0,0.18317961692810059,25.6,1
750.0,0.17997241020202637,24.3,1
147.0,0.1820967197418213,27.6,1
-317.0,0.17709755897521973,25.3,1
398.0,0.18018174171447754,26.7,1
-124.0,0.18472981452941895,30.3,1
158.0,0.17704987525939941,25.7,1
237.0,0.18155217170715332,26.0,1
-742.0,0.18429827690124512,26.0,1
224.0,0.17333769798278809,25.0,1
