time_since_last_recording,latency,cost,reliability
2020-38-07 16:38:41.000115,6.604900598526001,25.9,1,0.0
2020-41-07 16:41:33.000745,6.394824028015137,26.0,1,172.0
2020-41-07 16:41:36.000547,6.426048517227173,26.7,1,2.0
2020-41-07 16:41:39.000385,6.547034978866577,26.3,1,2.0
2020-43-07 16:43:38.000076,6.459733247756958,26.0,1,118.0
2020-44-07 16:44:09.000358,6.84911322593689,25.7,1,31.0
2020-46-07 16:46:37.000902,6.517079591751099,25.6,1,148.0
2020-49-07 16:49:43.000642,6.467113018035889,25.7,1,185.0
2020-50-07 16:50:38.000401,6.574419975280762,26.4,1,54.0
2020-51-07 16:51:22.000865,6.379166603088379,26.3,1,44.0
2020-52-07 16:52:21.000567,6.400293827056885,25.8,1,58.0
2020-52-07 16:52:42.000280,6.390498161315918,26.8,1,20.0
2020-54-07 16:54:15.000825,6.498477220535278,26.2,1,93.0
2020-54-07 16:54:49.000083,6.566976308822632,26.1,1,33.0
2020-55-07 16:55:18.000903,6.410325527191162,27.0,1,29.0
2020-55-07 16:55:22.000086,6.388216733932495,26.1,1,3.0
2020-55-07 16:55:29.000021,6.557059288024902,25.6,1,6.0
2020-57-07 16:57:16.000261,6.40826416015625,26.2,1,107.0
2020-59-07 16:59:16.000546,8.784724235534668,19.4,1,120.0
2020-59-07 16:59:42.000120,6.487877368927002,26.7,1,25.0
2020-01-07 17:01:34.000821,6.49452543258667,26.3,1,112.0
2020-03-07 17:03:25.000400,6.770874977111816,24.8,1,110.0
2020-03-07 17:03:48.000056,6.42972731590271,26.4,1,22.0
2020-04-07 17:04:09.000343,6.422441720962524,27.1,1,21.0
2020-06-07 17:06:49.000485,6.457474708557129,26.2,1,160.0
2020-07-07 17:07:21.000815,6.3734612464904785,26.5,1,32.0
2020-08-07 17:08:00.000535,6.577761173248291,26.3,1,38.0
2020-08-07 17:08:05.000262,6.505951166152954,26.3,1,4.0
2020-14-07 17:14:29.000066,6.441993474960327,26.6,1,383.0
2020-15-07 17:15:31.000138,6.5099732875823975,25.7,1,62.0
2020-16-07 17:16:15.000574,6.449769735336304,26.2,1,44.0
2020-16-07 17:16:53.000867,6.641886949539185,26.3,1,38.0
2020-18-07 17:18:33.000349,6.543734073638916,25.5,1,99.0
2020-18-07 17:18:42.000529,8.82272219657898,20.1,1,9.0
2020-19-07 17:19:05.000343,6.485458612442017,26.2,1,22.0
2020-19-07 17:19:37.000141,6.388941764831543,26.5,1,31.0
2020-21-07 17:21:54.000510,6.499098539352417,27.5,1,137.0
2020-22-07 17:22:54.000817,6.511011600494385,26.7,1,60.0
2020-22-07 17:22:57.000752,6.353829622268677,26.0,1,2.0
2020-26-07 17:26:37.000802,6.6857428550720215,26.2,1,220.0
2020-27-07 17:27:26.000785,6.4845921993255615,25.6,1,48.0
2020-30-07 17:30:57.000401,10.612190246582031,16.9,1,210.0
2020-31-07 17:31:33.000473,6.488271236419678,26.3,1,36.0
2020-31-07 17:31:56.000265,6.360554456710815,26.2,1,22.0
2020-32-07 17:32:35.000254,6.426452875137329,26.3,1,38.0
2020-32-07 17:32:53.000761,6.396955251693726,27.1,1,18.0
2020-33-07 17:33:03.000070,6.45333456993103,26.3,1,9.0
2020-34-07 17:34:25.000138,6.522488832473755,25.6,1,82.0
2020-34-07 17:34:39.000533,6.433460235595703,26.1,1,14.0
2020-34-07 17:34:48.000737,6.428335428237915,26.0,1,9.0
2020-36-07 17:36:07.000777,6.366319894790649,25.9,1,79.0
2020-36-07 17:36:24.000952,8.935113191604614,19.8,1,17.0
2020-37-07 17:37:27.000375,6.424992561340332,26.7,1,62.0
2020-38-07 17:38:04.000097,6.39921760559082,25.8,1,36.0
2020-38-07 17:38:28.000797,6.417449474334717,26.6,1,24.0
2020-41-07 17:41:02.000406,6.414536476135254,26.2,1,153.0
2020-41-07 17:41:13.000271,6.580140829086304,25.7,1,10.0
2020-41-07 17:41:52.000001,6.596332550048828,26.2,1,38.0
2020-42-07 17:42:07.000863,6.383148431777954,26.2,1,15.0
2020-45-07 17:45:02.000459,6.383300542831421,26.4,1,174.0
2020-45-07 17:45:33.000089,6.5542213916778564,25.4,1,30.0
2020-47-07 17:47:23.000691,9.676721811294556,18.3,1,110.0
2020-48-07 17:48:18.000724,7.834342002868652,21.4,1,55.0
2020-48-07 17:48:36.000547,6.500097036361694,25.5,1,17.0
2020-51-07 17:51:39.000481,6.426778316497803,25.9,1,182.0
2020-52-07 17:52:07.000634,6.382534980773926,26.3,1,28.0
2020-52-07 17:52:08.000920,6.4475319385528564,25.7,1,1.0
2020-54-07 17:54:59.000405,6.453765153884888,26.5,1,170.0
2020-55-07 17:55:06.000377,6.46669864654541,25.8,1,6.0
2020-57-07 17:57:16.000440,6.416726112365723,26.5,1,130.0
2020-57-07 17:57:37.000836,6.56086540222168,26.0,1,21.0
2020-00-07 18:00:09.000378,6.397792816162109,26.1,1,151.0
2020-02-07 18:02:27.000740,6.373415470123291,25.9,1,138.0
2020-02-07 18:02:31.000271,6.418779134750366,26.6,1,3.0
2020-03-07 18:03:07.000213,6.367699384689331,26.3,1,35.0
2020-03-07 18:03:40.000079,6.694172143936157,25.0,1,32.0
2020-03-07 18:03:56.000493,6.422933101654053,26.0,1,16.0
2020-06-07 18:06:39.000363,6.3864359855651855,26.1,1,162.0
2020-06-07 18:06:57.000555,6.376614093780518,26.6,1,18.0
2020-07-07 18:07:11.000797,6.4334001541137695,26.1,1,14.0
2020-07-07 18:07:42.000222,6.451437950134277,26.4,1,30.0
2020-10-07 18:10:02.000919,6.373068332672119,25.9,1,140.0
2020-10-07 18:10:25.000842,6.4242424964904785,26.0,1,22.0
2020-10-07 18:10:42.000307,6.36519455909729,26.4,1,16.0
2020-11-07 18:11:41.000860,6.524672508239746,25.8,1,59.0
2020-11-07 18:11:50.000620,6.392763614654541,25.8,1,8.0
2020-14-07 18:14:26.000505,6.51055908203125,25.8,1,155.0
2020-14-07 18:14:49.000434,6.391149520874023,26.4,1,22.0
2020-15-07 18:15:21.000771,6.449985027313232,25.8,1,32.0
2020-16-07 18:16:07.000136,6.410210371017456,26.0,1,45.0
2020-18-07 18:18:02.000885,6.445509433746338,26.8,1,115.0
2020-19-07 18:19:57.000525,6.388194561004639,26.3,1,114.0
2020-20-07 18:20:44.000646,6.501611948013306,25.8,1,47.0
2020-22-07 18:22:17.000258,6.465552568435669,25.7,1,92.0
2020-23-07 18:23:02.000679,7.599830865859985,22.3,1,45.0
2020-24-07 18:24:02.000910,6.384305000305176,26.2,1,60.0
2020-24-07 18:24:09.000924,6.419516086578369,26.6,1,7.0
2020-25-07 18:25:09.000449,6.514389514923096,26.3,1,59.0
2020-25-07 18:25:44.000915,6.359761476516724,26.4,1,35.0
2020-25-07 18:25:57.000451,6.470487356185913,25.9,1,12.0
2020-27-07 18:27:01.000926,6.402592182159424,26.4,1,64.0
2020-27-07 18:27:14.000925,6.595247507095337,25.6,1,12.0
2020-28-07 18:28:46.000296,6.424436569213867,26.3,1,91.0
2020-29-07 18:29:33.000983,6.46086859703064,25.9,1,47.0
2020-31-07 18:31:17.000415,6.40441632270813,26.6,1,103.0
2020-31-07 18:31:58.000992,7.6246325969696045,22.1,1,41.0
2020-32-07 18:32:10.000424,6.419156074523926,27.0,1,11.0
2020-33-07 18:33:11.000631,6.413544416427612,26.9,1,61.0
2020-35-07 18:35:22.000508,6.5527825355529785,26.1,1,130.0
2020-35-07 18:35:25.000387,6.475764751434326,27.0,1,2.0
2020-37-07 18:37:30.000012,6.457313537597656,26.4,1,124.0
2020-39-07 18:39:33.000149,6.43647027015686,26.7,1,123.0
2020-42-07 18:42:16.000661,6.530966520309448,25.9,1,163.0
2020-43-07 18:43:34.000952,6.563893556594849,26.3,1,78.0
2020-43-07 18:43:51.000013,6.40126895904541,26.3,1,16.0
2020-46-07 18:46:06.000416,6.547453165054321,26.3,1,135.0
2020-47-07 18:47:08.000981,6.403618097305298,26.5,1,62.0
2020-49-07 18:49:34.000822,6.491290092468262,25.8,1,145.0
2020-50-07 18:50:35.000611,6.420292377471924,26.2,1,60.0
2020-53-07 18:53:36.000383,6.520992994308472,26.1,1,180.0
2020-54-07 18:54:01.000237,6.363908052444458,25.9,1,24.0
2020-54-07 18:54:09.000886,6.537219047546387,25.7,1,8.0
2020-54-07 18:54:23.000947,6.418496131896973,27.3,1,14.0
2020-55-07 18:55:05.000647,6.508282423019409,26.4,1,41.0
2020-55-07 18:55:59.000656,6.462405204772949,25.8,1,54.0
2020-56-07 18:56:41.000908,6.48610520362854,26.1,1,42.0
2020-57-07 18:57:21.000734,6.409342050552368,26.2,1,39.0
2020-57-07 18:57:39.000544,6.4695165157318115,25.9,1,17.0
2020-58-07 18:58:01.000149,6.49367356300354,26.5,1,21.0
2020-58-07 18:58:05.000497,6.394580602645874,26.6,1,4.0
2020-58-07 18:58:50.000108,6.4023003578186035,26.9,1,44.0
2020-00-07 19:00:04.000087,9.220819234848022,18.4,1,73.0
2020-00-07 19:00:16.000026,6.430206775665283,26.3,1,11.0
2020-02-07 19:02:29.000664,6.425730466842651,26.1,1,133.0
2020-02-07 19:02:40.000707,6.532939672470093,26.3,1,11.0
2020-03-07 19:03:27.000798,6.394725799560547,25.9,1,47.0
2020-03-07 19:03:43.000429,6.579864025115967,25.7,1,15.0
2020-04-07 19:04:43.000573,6.41202187538147,26.3,1,60.0
2020-07-07 19:07:34.000740,6.4674623012542725,26.4,1,171.0
2020-08-07 19:08:32.000972,6.592559576034546,26.4,1,58.0
2020-12-07 19:12:51.000020,6.46061635017395,27.1,1,258.0
2020-12-07 19:12:55.000994,6.48328971862793,27.5,1,4.0
2020-15-07 19:15:07.000703,6.547361850738525,25.7,1,131.0
2020-15-07 19:15:15.000145,6.530484199523926,27.0,1,7.0
2020-15-07 19:15:32.000635,10.485288143157959,16.4,1,17.0
2020-16-07 19:16:36.000537,6.522184371948242,25.7,1,63.0
2020-17-07 19:17:22.000308,6.432210922241211,26.0,1,45.0
2020-18-07 19:18:47.000976,6.471045732498169,26.3,1,85.0
2020-19-07 19:19:24.000265,6.474656581878662,27.0,1,36.0
2020-21-07 19:21:27.000367,6.523846864700317,25.8,1,123.0
2020-22-07 19:22:49.000670,6.400469541549683,27.1,1,82.0
2020-23-07 19:23:37.000120,7.217199802398682,23.2,1,47.0
2020-25-07 19:25:22.000204,6.452741861343384,26.2,1,105.0
2020-28-07 19:28:30.000530,6.537655353546143,25.7,1,188.0
2020-29-07 19:29:54.000413,6.497126579284668,26.5,1,83.0
2020-30-07 19:30:01.000918,6.697272539138794,25.3,1,7.0
2020-30-07 19:30:26.000904,6.378003835678101,26.3,1,24.0
2020-31-07 19:31:05.000086,6.547481536865234,26.4,1,38.0
2020-32-07 19:32:33.000332,6.415583848953247,27.7,1,88.0
2020-34-07 19:34:58.000532,6.463246822357178,26.0,1,145.0
2020-35-07 19:35:00.000326,6.37295937538147,26.2,1,1.0
2020-35-07 19:35:17.000278,6.493663549423218,26.3,1,16.0
2020-37-07 19:37:45.000434,7.814584970474243,22.0,1,148.0
2020-38-07 19:38:21.000211,6.393367290496826,26.3,1,35.0
2020-38-07 19:38:24.000604,6.557602167129517,25.9,1,3.0
2020-38-07 19:38:49.000094,6.502679347991943,25.6,1,24.0
2020-38-07 19:38:58.000587,6.38481330871582,26.1,1,9.0
2020-39-07 19:39:45.000683,6.480799674987793,26.7,1,47.0
2020-41-07 19:41:04.000118,6.4350504875183105,26.1,1,78.0
2020-44-07 19:44:37.000072,6.409395217895508,26.7,1,212.0
2020-45-07 19:45:16.000237,6.664507865905762,25.3,1,39.0
2020-46-07 19:46:47.000106,6.438380718231201,26.9,1,90.0
2020-47-07 19:47:15.000609,6.520773410797119,26.4,1,28.0
2020-51-07 19:51:08.000987,6.5015869140625,25.8,1,233.0
2020-51-07 19:51:33.000912,6.568515777587891,25.6,1,24.0
2020-51-07 19:51:50.000090,6.375729084014893,25.9,1,16.0
2020-52-07 19:52:34.000593,6.434301376342773,26.2,1,44.0
2020-52-07 19:52:41.000580,6.3872809410095215,26.4,1,6.0
2020-54-07 19:54:31.000714,6.449714183807373,25.6,1,110.0
2020-55-07 19:55:53.000974,6.500410318374634,26.8,1,82.0
