time_since_last_recording,latency,cost,reliability,time_since_last_ping,last_ping
1947.0,11.192042112350464,8.7,1,78.0,0.106
1436.0,10.202897071838379,9.6,1,1515.0,0.106
1158.0,10.265400648117065,9.8,1,1154.0,0.106
658.0,10.047735452651978,9.4,1,226.0,0.106
2015.0,10.243248462677002,10.4,1,357.0,0.106
357.0,10.423628568649292,32.9,1,715.0,0.106
1779.0,12.284735441207886,5.5,1,587.0,0.106
788.0,10.321556091308594,11.8,1,1376.0,0.106
1732.0,10.41270112991333,9.8,1,596.0,0.107
1106.0,10.569368839263916,10.7,1,947.0,0.106
1219.0,10.26930832862854,9.9,1,275.0,0.108
1452.0,10.80102276802063,10.6,1,674.0,0.106
1478.0,10.7711660861969,11.3,1,140.0,0.106
371.0,10.187857389450073,12.7,1,511.0,0.106
1897.0,13.141777753829956,7.6,1,632.0,0.106
1501.0,0.0,1.9,0,95.0,0.107
701.0,12.847402572631836,10.4,1,797.0,0.107
1301.0,10.373087644577026,10.3,1,397.0,0.106
1064.0,12.161048650741577,10.7,1,1461.0,0.106
1226.0,10.2160062789917,10.4,1,170.0,0.106
2188.0,10.193457126617432,9.8,1,1482.0,0.106
410.0,15.460625648498535,10.4,1,5.0,0.106
1885.0,10.38960886001587,10.5,1,865.0,0.106
760.0,10.108167886734009,9.1,1,288.0,0.107
1961.0,10.209495067596436,10.0,1,871.0,0.11
