time_since_last_recording,latency,cost,reliability
837.0,0.031524658203125,48.1,1
1124.0,0.030575990676879883,25.5,1
2070.0,0.030362606048583984,26.3,1
627.0,0.03162884712219238,25.9,1
1768.0,0.03019857406616211,24.5,1
992.0,0.031702518463134766,24.6,1
961.0,0.031583547592163086,25.9,1
2073.0,0.030557632446289062,49.1,1
1098.0,0.030604124069213867,24.5,1
1318.0,0.029753446578979492,25.0,1
492.0,0.030017852783203125,32.8,1
1818.0,0.030637741088867188,24.1,1
509.0,0.031032085418701172,26.8,1
1690.0,0.030362367630004883,25.5,1
899.0,0.03131914138793945,24.1,1
1931.0,0.03142547607421875,24.1,1
1218.0,0.030501604080200195,25.5,1
1027.0,0.03012394905090332,50.0,1
1532.0,0.029491424560546875,23.1,1
1190.0,0.030661344528198242,25.5,1
993.0,0.031081676483154297,25.9,1
1802.0,0.03136157989501953,23.6,1
1185.0,0.03360342979431152,51.7,1
980.0,0.030339479446411133,25.5,1
1674.0,0.03091573715209961,25.8,1
