,timestamp,time_since_last_recording,latency,cost,reliability,ping_timestamp,time_since_last_ping,ping_success,ping_time,day1,day2,day3,day4,day5,day6,day7
0,2020-04-07 16:36:15.000314,0.0,0.044390951456719084,0.078125,1,,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,2020-04-07 16:47:59.000529,0.0021408978390312443,0.03874555693219775,0.08007812499999999,1,2020-04-07 16:47:16.000587,0.0028544243577545195,1,0.03848147074582554,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,2020-04-07 16:50:55.000889,0.0009366428045761694,0.04953443683542496,0.0625,1,2020-04-07 16:49:42.000549,0.004961261383716189,1,0.038648361397313945,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,2020-04-07 16:58:31.000598,0.015120090988158159,0.06509688724978334,0.05859375,1,2020-04-07 16:58:15.000328,0.001087399755335055,1,0.03898214270029074,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,2020-04-07 17:02:00.000884,0.0017394794942128856,0.11424952788499115,0.04296875,1,2020-04-07 17:01:28.000865,0.00217479951067011,1,0.039526733247252886,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,2020-04-07 17:08:37.000605,0.0039472803907138546,0.05049298051014453,0.06445312499999999,1,2020-04-07 17:05:06.000520,0.014340084273481038,1,0.03861761838256608,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,2020-04-07 17:11:17.000921,0.0014049642068642535,0.04681165278358807,0.0625,1,2020-04-07 17:10:52.000646,0.0016990621177110235,1,0.03835849868683409,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35,2020-04-07 17:19:07.000665,0.001271158091924801,0.07190184231263701,0.0625,1,2020-04-07 17:18:05.000396,0.0042136740519233395,1,0.03929396470701907,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,2020-04-07 17:26:26.000602,0.0039472803907138546,0.07707775938339582,0.041015625,1,2020-04-07 17:24:21.000306,0.008495310588555117,1,0.045499661826837776,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45,2020-04-07 17:31:10.000482,0.0028099284137285073,0.06593298118384695,0.05468749999999999,1,2020-04-07 17:29:22.000297,0.00733994834851162,1,0.038898697374546536,0.0,1.0,0.0,0.0,0.0,0.0,0.0
50,2020-04-07 17:36:05.000524,0.002341607011440423,0.04193240790692253,0.076171875,1,2020-04-07 17:33:53.000246,0.008971047981514204,1,0.038608834664066685,0.0,1.0,0.0,0.0,0.0,0.0,0.0
