# month,day,hour,minute,second,server,tactic,ping,age of ping(seconds),latency,cost,reliability
3.000000000000000000e+00,2.000000000000000000e+01,1.100000000000000000e+01,8.000000000000000000e+00,4.827384299999999939e+01,1.000000000000000000e+00,1.000000000000000000e+00,nan,nan,2.215156197547912953e+01,4.099999999999999645e+00,1.000000000000000000e+00
3.000000000000000000e+00,2.000000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,5.121065399999999812e+01,1.000000000000000000e+00,2.000000000000000000e+00,nan,nan,6.292039728164672852e+01,3.010000000000000142e+01,1.000000000000000000e+00
3.000000000000000000e+00,2.000000000000000000e+01,1.100000000000000000e+01,9.000000000000000000e+00,5.134800899999999757e+01,1.000000000000000000e+00,3.000000000000000000e+00,nan,nan,3.255271911621093750e-02,2.410000000000000142e+01,1.000000000000000000e+00
3.000000000000000000e+00,2.000000000000000000e+01,1.100000000000000000e+01,1.000000000000000000e+01,5.134795400000000143e+01,1.000000000000000000e+00,4.000000000000000000e+00,nan,nan,5.999955725669860840e+01,3.030000000000000071e+01,1.000000000000000000e+00
3.000000000000000000e+00,2.000000000000000000e+01,1.100000000000000000e+01,1.000000000000000000e+01,5.679553800000000052e+01,1.000000000000000000e+00,5.000000000000000000e+00,nan,nan,5.446827650070190430e+00,2.730000000000000071e+01,1.000000000000000000e+00
3.000000000000000000e+00,2.000000000000000000e+01,1.100000000000000000e+01,1.100000000000000000e+01,1.738138899999999865e+01,2.000000000000000000e+00,1.000000000000000000e+00,nan,nan,1.023448061943054377e+01,1.450000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,2.000000000000000000e+01,1.100000000000000000e+01,1.200000000000000000e+01,1.794145299999999921e+01,2.000000000000000000e+00,2.000000000000000000e+00,nan,nan,6.053577256202697754e+01,2.769999999999999929e+01,1.000000000000000000e+00
3.000000000000000000e+00,2.000000000000000000e+01,1.100000000000000000e+01,1.200000000000000000e+01,1.807627099999999842e+01,2.000000000000000000e+00,3.000000000000000000e+00,nan,nan,2.987599372863769531e-02,2.550000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,2.000000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,1.965953499999999821e+01,2.000000000000000000e+00,4.000000000000000000e+00,nan,nan,6.158286046981811523e+01,3.220000000000000284e+01,1.000000000000000000e+00
3.000000000000000000e+00,2.000000000000000000e+01,1.100000000000000000e+01,1.300000000000000000e+01,2.521341400000000021e+01,2.000000000000000000e+00,5.000000000000000000e+00,nan,nan,5.552148342132568359e+00,2.610000000000000142e+01,1.000000000000000000e+00
