,totalPowerConsumed,firstStartedTimestamp,latency,serverNumber,tacticNumber
0,39822.85999999999,2019-06-20 22:53:43.199000+00:00,22.801,1,1
1,48705.57999999999,2019-06-20 22:54:07.953000+00:00,34.047,1,2
2,84412.02,2019-06-20 22:54:43.542000+00:00,64.458,1,3
3,147439.59999999995,2019-06-20 22:55:49.735000+00:00,90.265,1,4
4,11981.199999999999,2019-06-20 22:57:21.531000+00:00,6.469,1,5
5,30584.399999999998,2019-06-20 22:57:29.575000+00:00,18.425,2,1
6,55011.87999999998,2019-06-20 22:57:49.851000+00:00,32.149,2,2
7,75204.35999999999,2019-06-20 22:58:23.996000+00:00,44.004,2,3
8,191960.9999999999,2019-06-20 22:59:09.336000+00:00,109.664,2,4
9,18344.48,2019-06-20 23:01:00.736000+00:00,12.264,2,5
10,94449.73999999998,2019-06-20 23:01:14.533000+00:00,68.467,3,1
11,74827.06000000001,2019-06-20 23:02:24.104000+00:00,50.896,3,2
12,6725.179999999999,2019-06-20 23:03:16.374000+00:00,3.626,3,3
13,148930.32,2019-06-20 23:03:21.954000+00:00,89.046,3,4
14,4712.400000000001,2019-06-20 23:04:53.979000+00:00,2.021,4,1
