,totalPowerConsumed,firstStartedTimestamp,latency,serverNumber,tacticNumber
0,81455.22,2019-06-21 13:52:42.199000+00:00,52.801,1,1
1,3046.12,2019-06-21 13:53:36.212000+00:00,1.788,1,2
2,160825.2799999999,2019-06-21 13:54:15.199000+00:00,105.801,1,1
3,191649.9199999999,2019-06-21 13:56:02.484000+00:00,113.516,1,2
4,2762.76,2019-06-21 13:57:57.370000+00:00,1.63,1,3
5,229617.08000000022,2019-06-21 13:58:00.272000+00:00,152.728,1,4
6,149156.7000000001,2019-06-21 14:00:35.727000+00:00,91.273,2,1
7,263808.16000000003,2019-06-21 14:02:08.707000+00:00,153.293,2,2
8,16582.72,2019-06-21 14:04:43.623000+00:00,11.377,2,3
9,238080.92,2019-06-21 14:04:56.464000+00:00,157.536,2,4
10,178228.81999999995,2019-06-21 14:07:36.666000+00:00,108.334,3,1
11,173916.82000000007,2019-06-21 14:09:26.484000+00:00,100.516,3,2
12,10860.08,2019-06-21 14:11:08.556000+00:00,6.444,3,3
13,273524.0200000002,2019-06-21 14:11:16.140000+00:00,184.86,3,4
14,383084.23999999923,2019-06-21 14:14:23.251000+00:00,239.749,4,1
15,131773.17999999996,2019-06-21 14:18:24.194000+00:00,79.806,4,2
16,10877.02,2019-06-21 14:19:45.520000+00:00,6.48,4,3
17,232800.26000000007,2019-06-21 14:19:53.789000+00:00,141.211,4,4
18,15179.78,2019-06-21 14:22:16.361000+00:00,7.639,4,5
19,108094.14000000003,2019-06-21 14:22:25.947000+00:00,64.053,5,1
20,126475.57999999999,2019-06-21 14:23:31.569000+00:00,93.431,5,2
21,12607.98,2019-06-21 14:25:06.621000+00:00,8.379,5,3
22,234980.89999999997,2019-06-21 14:25:16.615000+00:00,142.385,5,4
23,603273.4399999992,2019-06-21 14:27:41.852000+00:00,371.148,6,1
24,122590.16,2019-06-21 14:33:54.369000+00:00,60.631,6,2
25,7238.0,2019-06-21 14:34:56.196000+00:00,3.804,6,3
26,274480.36,2019-06-21 14:35:01.136000+00:00,197.864,6,4
27,576140.1799999991,2019-06-21 14:38:21.669000+00:00,358.331,7,1
28,102171.3,2019-06-21 14:44:21.963000+00:00,63.037,7,2
29,154332.64,2019-06-21 14:45:26.322000+00:00,91.678,7,3
30,239664.0399999999,2019-06-21 14:46:59.185000+00:00,154.815,7,4
31,244405.6999999999,2019-06-21 14:49:36.528000+00:00,149.472,8,1
