Tactic,Cost,Latency,Server
1,1907.92,128,1
2,1857.28,144,2
3,1817.25,168,3
4,1744.39,223,4
5,1882.59,144,5
6,1908.93,130,6
7,1398.2,134,7
8,1928.91,141,8
9,1858.69,142,9
10,1894.04,143,1
11,1789.38,202,2
12,1779.43,195,3
13,1769.16,178,4
14,1804.68,161,5
15,1833.83,167,6
16,1852.18,170,7
17,1828.52,159,8
18,1819.73,161,9
19,1749.06,198,1
20,1705.87,274,2
21,1769.09,185,3
22,1845.6,156,4
23,1792.21,171,5
24,1865.95,171,6
25,1765.3,177,7
26,1820.09,158,8
27,1835.98,176,9
28,1806.22,196,1
29,1803.04,174,2
30,1842.95,167,3
31,1858.71,146,4
32,1824.57,184,5
33,1777.71,184,6
34,1883.27,137,7
35,1840.23,156,8
36,1817.26,182,9
37,1806.85,159,1
38,1920.51,135,2
39,1904.77,133,3
40,1959.74,140,4
41,1922.92,129,5
42,1903.98,132,6
43,1910.34,140,7
44,1825.62,177,8
45,1399.68,26,9
46,1881.2,135,1
47,1950.45,123,2
48,1928.6,149,3
49,1791.57,174,4
50,1883.64,142,5
51,1810.74,163,6
52,1745.35,216,7
53,1859.28,148,8
54,1910.18,132,9
55,1849.3,154,1
56,1893.55,154,2
57,1893.19,132,3
58,1912.83,133,4
59,1856.53,154,5
60,1836.27,173,6
61,1855.8,143,7
62,1903.66,131,8
63,1885.8,138,9
64,1928.76,143,1
65,1883.21,135,2
66,1895.71,129,3
67,1850.18,159,4
68,1698.8,251,5
69,1851.77,151,6
70,1905.59,134,7
71,1865.93,143,8
72,1912.6,143,9
73,1806.4,168,1
74,1840.84,147,2
75,1843.18,158,3
76,1797.4,196,4
77,1496.57,654,5
78,1919.14,132,6
79,1949.35,127,7
80,1950.5,137,8
81,1882.63,139,9
82,1929.47,131,1
83,1847.42,169,2
84,1808.25,186,3
85,1853.83,146,4
86,1902.02,129,5
87,1912.01,128,6
88,1916.08,150,7
89,1864.6,137,8
90,1910.93,132,9
91,1812.74,175,1
92,1801.65,181,2
93,1928.38,129,3
94,1893.45,147,4
95,1893.05,136,5
96,1927.03,139,6
97,1909.68,136,7
98,1938.79,125,8
99,1819.07,170,9
100,1801.39,191,1
101,1812.65,160,2
102,1918.56,138,3
103,1891.9,137,4
104,1932.19,144,5
105,1823.37,155,6
106,1902.01,143,7
107,1877.94,156,8
108,1828.96,179,9
109,1841.11,151,1
110,1911.69,135,2
111,1902.19,136,3
112,1980.94,127,4
113,1860.99,147,5
114,1918.17,132,6
115,1818.35,176,7
116,1842.6,173,8
117,1860.68,147,9
118,1887.44,141,1
119,1933.74,129,2
120,1861.54,157,3
121,1884.76,141,4
122,1933.43,123,5
123,1857.85,160,6
124,1864.86,154,7
125,1815.16,164,8
126,1933.69,125,9
127,1920.11,130,1
128,1922.12,141,2
129,1860.79,143,3
130,1978.21,122,4
131,1855.64,162,5
132,1812.78,176,6
133,1841.45,149,7
134,1927.08,133,8
135,1888.57,134,9
136,1944.08,138,1
137,1917.28,125,2
138,1951.23,118,3
139,1514.93,586,4
140,1799.43,183,5
141,1811.33,154,6
142,1872.84,149,7
143,1845.48,145,8
144,1938.89,139,9
145,1908.45,135,1
146,1937.28,123,2
147,1880.78,140,3
148,1871.54,158,4
149,1782.34,171,5
150,1926.42,133,6
151,1867.65,134,7
152,1964.63,137,8
153,1856.88,146,9
154,1858.22,134,1
155,1873.45,151,2
156,1815.41,166,3
157,1849.32,151,4
158,1935.97,127,5
159,1845.57,148,6
160,1907.69,145,7
161,1860.74,146,8
162,1941.87,127,9
163,1879.99,149,1
164,1830.22,168,2
165,1830.81,151,3
166,1899.03,135,4
167,1896.72,128,5
168,1943.64,132,6
169,1937.99,124,7
170,1960.69,118,8
171,1762.35,192,9
172,1807.44,180,1
173,1773.49,171,2
174,1966.97,122,3
175,1900.42,128,4
176,1951.59,137,5
177,1870.43,138,6
178,1852.81,147,7
179,1808.59,169,8
180,1744.92,210,9
181,1827.75,152,1
182,1907.44,136,2
183,1909.84,130,3
184,1941.92,140,4
185,1885.58,134,5
186,1863.75,139,6
187,1884.82,142,7
188,1693.42,256,8
189,1802.66,165,9
190,1860.29,146,1
191,1904.25,130,2
192,1916.03,144,3
193,1859.44,140,4
194,1882.35,138,5
195,1839.43,158,6
196,1607.07,340,7
197,1831.66,153,8
198,1876.2,147,9
199,1895.0,135,1
200,1914.26,138,2
201,1902.73,130,3
202,1913.13,129,4
203,1824.29,162,5
204,1696.52,253,6
205,1797.98,162,7
206,1920.61,128,8
207,1863.15,138,9
208,1899.45,147,1
209,1890.61,129,2
210,1826.91,149,3
211,1895.12,142,4
212,1525.93,541,5
213,1824.75,161,6
214,1916.69,132,7
215,1939.95,120,8
216,1920.55,144,9
217,1944.19,132,1
218,1926.11,129,2
219,1858.76,155,3
220,1746.07,215,4
221,1820.56,170,5
222,1854.43,143,6
223,1922.68,121,7
224,1921.02,144,8
225,1916.04,128,9
226,1910.71,129,1
227,1839.09,157,2
228,1642.48,280,3
229,1789.08,170,4
230,1895.86,136,5
231,1842.68,147,6
232,1932.58,137,7
233,1854.46,146,8
234,1951.69,124,9
235,1878.97,147,1
236,1740.2,212,2
237,1828.12,160,3
238,1875.9,146,4
239,1868.37,135,5
240,1923.45,147,6
241,1914.98,133,7
242,1909.5,136,8
243,1854.0,157,9
244,1679.7,269,1
245,1848.56,145,2
246,1923.23,132,3
247,1891.26,138,4
248,1940.14,140,5
249,1888.21,136,6
250,1933.94,122,7
251,1885.85,151,8
